,No.,Tweet,Label,Words,Notes,Contributor
22,23.0,"Planning to #VisitOakPark this summer? You'll find historic walking tours, renowned farmers markets, unique street festivals, outdoor theater, and much more: https://t.co/ebpmZbMSwN https://t.co/ytoBdj2W1I",environment,"planning, vist, renowned",,
23,24.0,Thankful to be a guest judge for Heart of Illinois Professional Chefs Association Chopped Competition! — at Peoria Riverfront Farmers Market https://t.co/wjU0MvIrhn,environment,"thankful, competition",,
24,25.0,Farmers' Market Volunteers Needed: https://t.co/ug3EInDFmM #VolunTweet,environment,vonlunteers,,
25,26.0,"I don’t always have a chance to grab fresh food from the grocery or farmers market when I’m traveling, but I know I can always grab a @risebar for a healthy snack on the go! With a 4+ hr… https://t.co/xW5j4vYK0U",quality,fresh food,,
26,27.0,"Eco-friendly and chic.
https://t.co/3JRa5naZv6",environment,"friendly, chic",,
27,28.0,Some awesome food for thought from @AMReese07 as we start (hopefully?) the farmers' market season: https://t.co/md6ERrFopl,quality,aswsome food,,
28,29.0,"Farmers Market season is here! Visit us at a local market near you! We’ll be participating in over 15 markets this summer in every part of town - from downtown to southside, westside and northside of Chicago.... https://t.co/yvdh2HvtIb",Business,"visit us, you, season!",business (content),
29,30.0,Ravenswood Farmers Market  https://t.co/ML0VSrpDBR,Business,,business (content),
30,31.0,"Sunday June 10 - 1099 String Quartet, Farmers Market, Park Garden Tour https://t.co/ZgAfcM78VC",Business,,business (content),
31,32.0,Kankakee's Farmers Market is my happy place🌞,environment,happy place,,
32,33.0,Honestly the world should be just like one giant farmers market then everything would work out okay,environment,work out okay,,
33,34.0,Here’s the line up for today’s Farmers Market! 9am-1pm at Central & Hiawatha https://t.co/gHjfaGRqNF,Business,"here's, today's farmers market!",business (content),
34,35.0,Farmers Market's Proximity Marketing Solutions for booth!: https://t.co/TpWds7gvVh via @YouTube,Business,marketing,business (content),
35,36.0,Join us this Saturday at the Northcenter Farmers Market 🎵  - https://t.co/sQJYwgImps,Business,join us this Saturday at ,business (content),
36,37.0,"Sunday, August 26th, we will be at Frankfort Country Farmers Market in Frankfort, IL. 9am-2pm! Hope we see you there! https://t.co/JiBBNJQonf",Business,"we will, hope, see you there!",business (content),
37,38.0,Summer Sounds and Farmers' Markets Returning https://t.co/AvqckbaQC3,Business,returning,business (content),
39,40.0,This afternoon's adventures at the farmers market https://t.co/puECjdm9an,environment,adventures,,
40,41.0,"As #farmersmarket season approaches, our #dietitian shares what produce to get when this season: https://t.co/g2LetV3jZp #HealthTip https://t.co/fOYWEAEEoG",quality,dietitian,,
41,42.0,Skokie Farmers' Market - The Core of the Community https://t.co/E64Z48sqB0  @DowntownSkokie @NorthShoreWeb,Business,,business (content),
42,43.0,"This week's #bouquet from https://t.co/a5evCvsgd3 
#farmersmarket #flowers @61market https://t.co/c0YuE0kZaG",Business,"bouquest, flowers",business (content),
43,44.0,Old Capitol Farmers Market Celebrates National Farmers Market Week August 5-11 https://t.co/aPPIwdSO6r https://t.co/1CO8LnmsEm,Business,celebrates,business (content),
44,45.0,We're here at the #IllinoisProductsFarmersMarket giving away Springfield Clinic strainers (while supplies last). Come out and get your fresh produce and Illinois products. The market is open from now until 7 p.m. at the #IllinoisStateFairgrounds. #farmersmarket #springfield https://t.co/v9O4YbcMrQ,Business,"we're here at, come out and get your, fresh produce",business (content),
45,46.0,Roselyn  is sharing spare bushels. Grab one now! https://t.co/T8Q1Mqj9fk,Business,"sharing, grab now!",business (content),
46,47.0,Want to find out more about buying a house?  Check in with Veronica from NHS of Chicago every Friday afternoon at the IMAN—Chicago + ATL Farmers Market on 63rd ST. just east of California.  Reach Veronica at vgalvan@nhschicago.org.,Business,check in ,business (content),
48,49.0,"“If you’ve got good produce a lot of customers are going to follow you.”
See how the Stephenson County Farmers Market is doing in its new downtown location. https://t.co/YePwIPRDXp https://t.co/ia0hboG6Bb",Business,good produce,business (content),
50,51.0,Pellston Elementary School hosts back-to-school farmers market pop-up https://t.co/rLdcZSh4bG #backtoschool #farmersmarket #farmersmarkets #foodservice https://t.co/C218ekOzmq,environment,school,,
52,53.0,"This supports the Marengo fireworks. Come out to the farmers market today to buy tickets for $10 each, or go to the fire department to buy your tickets. This event is June 22. Hope some friends can make it! https://t.co/QNXzunI6rn",environment,"supports, fireworks, tickets, event, friends",,
53,54.0,"Thursday Farmers Market In West Town Lands $395,000 To Help Shoppers Get More For What They Spend https://t.co/iBFCllZa87 https://t.co/u7T1eRPhYy",availability,spend,,
54,55.0,PrairiErth Farm is having a stock up sale at the September 22nd Farmers' Market. Join us tomorrow morning from 7:30 a.m. to noon around the Museum Square. https://t.co/q1CodztzoZ,Business,join us tomorrow,business (content),
55,56.0,Feeling my farmers market fantasy https://t.co/0EpXANf0ZS,environment,"feeling, fantasy",,
57,58.0,"Spruce up your #summercuisine with this strawberry #salsa recipe from Janie Maxwell of the @ILFarmersMkts . This recipe works best with ultra-fresh, locally-sourced produce. Try looking into your local farmers market: https://t.co/0O7R1xbfef",quality,"strawberry, ultra-fresh, locally-sourced produce",,
59,60.0,"#FoodieEllie reads Eat Well (her choice as we drove there) experiences #Champaign farmers market today. Menu collards, okra with tomatoes 🍅, corn on the cob, bruschetta selections with fresh basil, and grill squash. #foodie #farmfun #foody #4chionstyle #fourthofjuly #family https://t.co/WQpJOdUG7h",availability,"okra, tomato, corn, fresh basil, grill squash",,
60,61.0,"The SOAR Farmers Market is now open. This weekly market runs every Tuesday through October from 7:00 am - 2:00 pm at the MCA Plaza (220 E. Chicago Ave.). Be sure to say hello to our 2nd Ward volunteers if you visit the market to pick up some fresh produce, flowers or baked goods.",Business,"now open, if you visit",business (content),
63,64.0,"#Gardening allows an #athlete to grow their own #fresh produce, often in a wider variety than can be found in stores and markets. Not interested? Start looking for farmers markets near you! https://t.co/FNKCLSvnMn",quality,"start looking for, found, fresh",,promotors
64,65.0,"New farmers' market for us this year. All of you north-siders, come check us out at the Deerfield Farmers' Market! Every Saturday from 7-12. #coffee #deerfield #farmersmarket https://t.co/HFsszDOIWy",Business,new ,business (content),
65,66.0,Come see our midwestarkoftaste set up at the @61market !  Learn about our mission and how u can help. @Plantsrule1 #localfoods #sustanability #biodiversity @ 61st Street Farmers Market https://t.co/iVws6vn7H5,Business,"come see our, set up",business (content),
66,67.0,The Best Chicago Farmers Markets https://t.co/Mc4JzZmNP1 on @bloglovin,quality,best,,
68,69.0,"More new items today: Tomato pie with roasted garlic, basil and Fontina. Cherry Custard Pie. Fresh Apricot Muffins. Horner Park Farmers Market and Glenwood Sunday Market.",availability,"more new items, tomato, basil, cherry, fresh apricot",,
70,71.0,What a beautiful day for a Bubble Tub! Farmers Market in the taproom today… https://t.co/B6JN0OaEZd,environment,beautiful,,
71,72.0,"THURSDAY! Check out The Cookout on Wheels & Kona Ice North Plainfield at @AloftHotels in #Bolingbrook! 

Then, head across the street to the Farmers' Market and 🆓️ Outdoor Summer Concert (at 7pm) at The Promenade Bolingbrook (@ShopPromenade)!

Event: https://t.co/e7UpIrq0sE",Business,Check out!,business (content),
72,73.0,Vanity Fair magazine highlights one of our very own: Joshua Tilden and chef Erling Wu-Bower introduce “a farmers market-obsessed restaurant with all sorts of California soul” with the upcoming Pacific Standard Time Chicago in River North. 🙌🏾🔥 https://t.co/BSuAyVzril,Business,"soul, upcoming",business (content),
75,76.0,Need a quick and easy dessert to go with your fresh strawberries from the farmers market? Here you go! https://t.co/w1FLyYXLky,quality,fresh strawberries,,
76,77.0,Music in the park. @ Ottawa's Old Town  Farmers Market https://t.co/FlSGROxW25,environment,music,,
77,78.0,"Spring produce is finally in-season! Here’s a tasty recipe for asparagus and mushroom frittata from Janie Alexander Maxwell, executive director of the Illinois Farmers Market Association. Try making this dish... https://t.co/5vrbIGMVAx",availability,"tasty, asparagus, mushroom",,
78,79.0,"Fresh fruits and vegetables are yours for the asking. The Downtown Hyde Park Farmers Market every Thursday 7:00am - 1:00pm
#downtownhydepark #hpcc",Business,"yours asking, ",business (content),
80,81.0,Open Every Sunday Starting June 3rd: Downtown Skokie's fabulous Farmer's market returns to open at 7:30AM! @DowntownSkokie #SkokieIL https://t.co/I1LapkQfku https://t.co/HjsqWIoZe7,Business,"open, returns",business (content),
81,82.0,"Our #Islington Farmers Market is going from strength to strength.

This weekend we will welcome our latest addition to the line up - 💖 Lele's 💖

Their Bakewell Tarts are *to die for* and their #vegan sausage rolls are something else.

Come say hi bet… https://t.co/UgWzgFfYsq",Business,"welcome, latest addition",business (content),manager
82,83.0,Ok fine I'll say what everyone is thinking: that farmers market looks really nice https://t.co/gZDbad3Lwc,environment,looks really nice,,
84,85.0,An article about the Chamber featuring information about the upcoming 2018 Season of the MGFM (Morton Grove Farmers' Market)... https://t.co/uAnhamEj1a,Business,"upcoming season, featuring information",business (content),
86,87.0,Looks like a picture-perfect summer day in Chicago shaping up! What's on your 'to-do' list? #Errands #FarmersMarket #AntiqueScrounging #AlterationsPickup https://t.co/RE5G2uWEBw,Business,"looks like, perfect",business (content),
87,88.0,Upcoming Event: La Salle Farmers Market - 6/5/2018  https://t.co/Bg1g8v6vNw,Business,uncoming event,business (content),
88,89.0,"With hundreds of smiling faces in attendance, Northbrook's farmers market opened for its 10th season on Wednesday: https://t.co/5gOr623Ncm @NorthbrookFarm1 https://t.co/aKUQrBuBhn",Business,"smiling faces, attendance opened",business (content),
89,90.0,Soulard Farmers Market on #Yelp: Steve's produce https://t.co/ppDQEKXKEe,Business,,business (content),
90,91.0,Great day for the farmers market ☀️ https://t.co/X9bLsed0Ej,environment,great day,,
91,92.0,"While the chef was at market, early this morning. the baker was busy baking away. Farmers Market today in  quad 10am-1:30pm #BenUDining https://t.co/xC7KlbhUJa",Business,,business (content),
92,93.0,"Went to the farmers market alone ✔️
Got an all natural lemonade ✔️
Pet 3 Shih-Tzus ✔️
So far a grade A day ✔️",quality,"pet, natural, lemondade",,
93,94.0,"Join Chris our Hort Educator tomorrow morning from 8:45 - Noon at the Macomb Farmers Market. He will have some fun activities and take a ways, all about Monarch Butterflies! https://t.co/n19UUKKVZE",Business,,business (content),
95,96.0,Beet Box Mobile Farmers Market Makes Fresh Produce Accessible and Affordable https://t.co/qb3SP1SPBT,Business,"accessible, affordable",business (content),
96,97.0,Join @socialcollageme #divisionstreetfarmersmarket #chicagosoapmaker #chicagofarmersmarket #chicagocitymarkets @ Division Street Farmers Market https://t.co/sdpKkxtjzf,Business,,business (content),
97,98.0,The Glenview Farmers Market — now with fresh eggs from Historic Wagner Farms— kicks off its 30th year https://t.co/080WzcSToJ https://t.co/mIWe8chH2c,Business,,business (content),
98,99.0,Go to your local farmers market to get healthier fruits and veggies - https://t.co/24uFg0EbvA https://t.co/jlCLSYrp7c,Business,healthir fruits and veggies,business (content),
100,101.0,Winfield Farmers Market!!! Come on out and taste BLISS!!!! https://t.co/amLN6p1fJz,Business,come on and taste!!,business (content),
101,102.0,"@turnip2020
I met some of your friends today at the farmers market😂😂😂 https://t.co/X6A3I4Ibl2",environment,,visiting,consumers 
102,103.0,"Aurora has one of the oldest farmers markets in the state, and it opens Saturday at the Aurora Transportation Center from 8 a.m. until noon. It will operate rain or shine each Saturday through Oct. 20. 
https://t.co/FwqGwTz2K5 https://t.co/5Ov4vRdVDl",Business,"opens, operate",business (content),
103,104.0,"[Quakertown, Pennsylvania -- Red Cross blood drive June 24] 
Quakertown Farmers Market welcoming four new vendors in June https://t.co/CPz5Dfpwce https://t.co/5puk8RZaen",Business,vendors,business (content),
105,106.0,Stop out and see us at the Orland Market in the Park!! It’s a beautiful night for some ICE CREAM!! — at Orland Park Farmers' Market https://t.co/q7mQJctYVd,Business,stop out and see us,business (content),
106,107.0,"Winnetka Farmers' Market TOMORROW, July 28.
510 Green Bay Road 
7:30 am- 12:30 pm",Business,,business (content),
107,108.0,"Tea of the week! Mermaid's Touch, find it at https://t.co/a8CouPe1wB #bettinastea #tea #icedtea #frenchmarket #farmersmarket #hibiscus #rooibos #greentea #blacktea #whitetea #oolong #matcha #detox #spring #summer2018 #ayurvedic #chaitea #herbaltea #fruittea #lombard #naperville https://t.co/CgNozXAUWK",Business,,business (content),
108,109.0,"I made a farmers market brunch today: fresh eggs baked with yellow tomato-red chile sauce, topped with basil & Parmesan.  Hot blueberry muffins. https://t.co/D7LtxUT20b",quality,"fresh, tomato, basil, bluberry",,
109,110.0,Today only due to Skokie's Backlot Bash the Skokie Farmers' Market is moving to the WEST parking lot of the Skokie Public Library. https://t.co/5B7FzC9gTU,Business,moving,business (content),
110,111.0,Thursday farmers market season Daley plaza opening #farmersmarket #chicagoIL #freshproduce #Greens,Business,opening,business (content),
111,112.0,First Bank &Trust community shredding event at Downtown Farmers Market (east side) 9-11 a.m. on May 12. Four shopping paper bags (25 lb.) max.,Business,,business (content),promotors
112,113.0,Central Park Farmers Market | Just another https://t.co/tbTHzjqlEF site https://t.co/ZSRTmWNJbw,Business,,business (content),
113,114.0,Our haul from the farmers’ market. We went in looking for pieces to put together a charcuterie board for tomorrow night and I think we nailed it. https://t.co/4IYfQCbROf,Business,"looking for, tomorrow night (time)",business (content),
114,115.0,Join us for our Farmers Market Tour and Cooking Class this Thursday at Lincoln Square. You'll meet the farmers and vendors at the market then enjoy an impromptu cooking class made with the bounty! https://t.co/iSTZA7yUZ0 https://t.co/N92EJ9cEIZ,Business,"join us, you'll meet, enjoy",business (content),
115,116.0,Wow Organic Garlic Old State Capitol Farmers Market  https://t.co/8BUE1Pfuch,quality,organic garlic,,
117,118.0,"Free Tulips For Mothers Day, May 13 2018 @ Logan Square Farmers Market Outdoor Site, https://t.co/l3nQ6h0DYU #Community #Featured",Business,,business (content),promotors
119,120.0,Winter European Farmers Market and Love Local sampling event happening Saturday 10am-2pm. Come… https://t.co/1eVVkwNIMj,Business,"happening, come",business (content),
120,121.0,"Farmers Market Sunday 💚🌿 #felicity #candydelight #sundayfunday #farmersmarket #logansquare #chicago @ Chicago, Illinois https://t.co/cfXbSUcypk",Business,Sunday,business (content),
121,122.0,"just a lil reminder to slow down and enjoy these last weeks of summer! ✨ take a trip to the farmers market, go on a long walk, fire up the grill, drink a cold one. they go so, so fast. fall can wait. soak it UP! ☀️🍅🌽🍆🥦🥗🍺🤸🏻‍♂️ #howisummer https://t.co/jHeEG5pzRo https://t.co/GmVMeDh4lt",Business,last weeks of summer!,business (content),
122,123.0,"15lbs of rhubarb from Gray Farms, @ToddAppel making rhubarb lemon cordial! (@ Andersonville Farmers Market - @ecoaville in Chicago, IL) https://t.co/KpzVHD9GfH https://t.co/WuPGOOsjmy",availability,"from farms, rhubarb (15 lbs-weight)",,
123,124.0,"Hey farmer friends! I'm teaching a free webinar all about farmers market success, thanks to The Land Connection! 

Just sign up and see my do my first ever webinar! https://t.co/65kXe4l6FF",Business,"teaching, sign up and see, free",business (content),educators
124,125.0,"A 👉FREE Market Bag👈 for the FIRST 100 customers at the Everyday Edgebrook Farmers Market this Saturday, 8/4, 9am - 1pm!!!  

Located in Edgebrook school parking lot
6525 N Hiawatha Ave https://t.co/ybpR89FEV6",Business,"FREE, this Saturday",business (content),
126,127.0,"Start your day the Beaver Way and check out the trucks at Southport & Addison, and at the North Park Farmers Market! #coffee #minidonuts #donuts #foodtruck https://t.co/6UJa6MQHbJ",Business,start your day,business (content),
127,128.0,Visit your local #FarmersMarket to help out your local economy - https://t.co/N87xOwz5Ku https://t.co/NXxZ1IJrmM,Business,visit your local,business (content),
128,129.0,"The Thursday evening @LSRCC_Chicago #farmersmarket in #LincolnSquare kicks off tonight! Join us at our booth at 6pm for a demonstration on how to make Asparagus-Mushroom Crostini with Ricotta, Manchego and Honey using ingredients from local farmers and vendors. https://t.co/o5dLF6ON45",Business,"join us, asparagus-mushroom,",business (content),
130,131.0,"Varieties Music Team has a show on 10/06/2018 at 09:00 AM @ Arlington Heights Farmers Market in Arlington Heights, IL https://t.co/DQQiz8iGVo #concert https://t.co/mazrUVwVeB",environment,music,,
131,132.0,"Deerfield’s Fresh Thyme Farmers Market is closing May 5, the victim of poor sales. https://t.co/i7ntIOU9HA https://t.co/nBoG4zk8eY",Business,closing May 5,business (content),
132,133.0,#FYI There you go... spinach! Farmers market report: Winter Bloomsdale spinach gives you a sweet reason to eat your greens https://t.co/YWpGdIa2g9,Business,"spinach, sweet, greens",business (content),
133,134.0,"There was a Farmers Market outside the courthouse today and I got one of my Bucket list plants. #stringofpearls #igplants @ Chicago, Illinois https://t.co/ielMK7ZBln",availability,"bucket list, got, today",visit,consumer
134,135.0,Pet-friendly or pet-free? Suburban farmers markets take sides on whether to allow dogs to accompany shoppers https://t.co/q2PnOYpAf4,safety,"pet, dogs",,
135,136.0,"Today from 3:30pm to 6:30pm, Champaign Farmers Market is back on for the season!  Produce, pizza, pops, come get what you've been missing!! #TLCmarket https://t.co/6aBvahm0zH",Business,"today from, back on for the season",business (content),
136,137.0,Shopping at your favorite farmers market #InTheNews https://t.co/rHnXf2tyMU https://t.co/aAkzVjssta,Business,"shop, your favorite farmers market",business (content),
138,139.0,"The rain is holding off til tonight so come on out and shop with us at Swansea Farmers Market. We're here until 2pm on the Rural King parking lot off 159.

#FarmersMarket 
#SwanseaFarmersMarket 
#FreshProduce
#HandcraftedGoods
#HandcraftedJewelry
#NaimahsCreations https://t.co/gWrkf3eKgs",Business,"shop with us at (location), we're here until pm (time) ",business (content),
140,141.0,Check out this huge sweet potato that O'Rourke Family Gardens harvested. There is going to be so much wonderful produce and products at September 22nd Farmers' Market https://t.co/ts8FYqHgGo,Business,"check out, harvested, wonderful produce",business (content),
142,143.0,The Barrington Village Farmers Market is back starting tomorrow in downtown #Barrington! 🥒🍓🥕 #365Barrington #noondailybarrington #Barringtonil #noondaily  #Illinois #60010 #BarringtonToday #BarringtonSummer https://t.co/jMaKAg79n1,Business,back starting tomorrow,business (content),
143,144.0,"Today was the first day of #ChicagoCityMarkets, where you can find fresh seasonal produce, flowers, prepared foods, and unique Chicago-made products! Bookmark the farmers' markets schedule for the summer season: https://t.co/r2worNJsuf https://t.co/CTF8RHsRYy",Business,first day,business (content),
144,145.0,R Family Farm will not be at the Woodstock Farmers Market tomorrow. (Tues) I am very ill and should be ok by Saturday.,Business,,business (content),notice of change
145,146.0,Stop by The Ravinia Farmers Market between 7 AM and 1 PM at Dean Avenue at Jens Jensen Park (intersection of St. Johns and Roger Williams Avenues) and check out the fall produce... https://t.co/JYxQpvE8kv https://t.co/bsDJuVcLI0,Business,stop by ,business (content),
146,147.0,#HealthTip: Shop at your local farmers market to boost your local economy. https://t.co/gadB9I3Sqx https://t.co/FGlOjOg1Cj,economics,"shop at local farmers, local economy",,promoters
147,148.0,Derek Hough puts his arm around girlfriend Hayley Erbert as they hit LA's farmers' market: Derek Hough and Hayley… https://t.co/YZPk190tAj,environment,girlfriend,,
148,149.0,Want a fun day out? FARMERS MARKET on June 9 @ 8:00 am - 1:00 pm https://t.co/7a3hB9a7rG https://t.co/vno9Y5asb3,Business,want a ?,business (content),
149,150.0,Saturday morning #farmersmarket Staples: meat on a stick and Puppy Chow. #momsofinstagram #kidsofinstagram #preschoolersofinstagram #fierceandfour #amazinggirl #awesomekid #meatonastick… https://t.co/yfk3pByWAv,Business,Saturday morning,business (content),
153,154.0,"Stop by the Libertyville Farmers Market! 

We're here today and every Thursday morning from 7 a.m.-1 p.m. 

Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 

Checkout our website for all our upcoming events https://t.co/GUyhF57bHb https://t.co/sO6vIqJbeR",Business,"stop by, checkout",business (content),
155,156.0,"News from Your Neighbors: Tinley Park’s Farmers Market open for the summer, more - https://t.co/qxeaYfxChS @TinleyJunction @HomerHorizon @MokenaMessenger @FrankfrtStation @TheNLPatriot https://t.co/3v6JU9yINM",Business,"news from, neighbors, open",business (content),
156,157.0,We will be at the Farmers market tonight from 3pm to 6pm.  Jam and Danny will be at the tent.  Stop by and say hello! https://t.co/lF6c3UzKWE,Business,,business (content),
157,158.0,Check Out the Latest Buffalo Grove E-newsletter and the Farmers' Market Today! https://t.co/AFtmWlOiEb via @Nextdoor,Business,check out,business (content),
158,159.0,The farmers market at my building has hemp satchels with earthy appliqués in case you’re into that sorta thing,availability,has,,consumers
159,160.0,Chicago’s Best Farmers Markets https://t.co/BYjXuVezZw https://t.co/MajWaMWmsv,quality,best,,consumers
160,161.0,Oak Park Farmer's Market Kicks Off 43rd Season https://t.co/lh3So20HJS https://t.co/N1IXrpzW8F,Business,kicks off,business (content),
161,162.0,"Fresh donuts made on site, fresh coffee and live bluegrass music performed by the Farmers' Market Band are part of what makes the #OakPark Farmers' Market so special. The Market's 43rd season kicks off May 19 and continues every Saturday through October. https://t.co/rMC0NhL447 https://t.co/ueLKOvVamS",Business,"donuts, coffee, live music, performed",business (content),
162,163.0,Farmers markets guide: Your complete Chicago and suburban listings https://t.co/5d79Pq1bRZ,education,guide,,educators
163,164.0,"Farmer's Market

Please join us today, 3-7 PM, at the Farmers' Market! The Old Town Bloomingdale Farmers' Market, which operates every Thursday, 3 PM to 7 PM through September 20, in the Old... https://t.co/7pw2qT80ks",Business,"please join us, operates",business (content),
164,165.0,The nephew & I hanging out today.  Take care too. @ Logan Square Farmers Market https://t.co/PikUmtmZ7Z,environment,"nephew, haning out, take care",,
166,167.0,"The 61st Street #FarmersMarket moves back outdoors today! Head to 61st/Dorchester between 9am-2pm. Rain or shine, it’ll be fine. #Woodlawn #HydeParkChicago https://t.co/W6TpCCXcCk",Business,moves back! Head,business (content),
167,168.0,"It’s farmers market and fresh produce season❣️ Why not grow your own chemical free, nutrient dense, low maintenance, and very affordable better than organic produce… https://t.co/QHXyVpo0dF",quality,"chemical free, nutrient, organic, affordable",,promoters
168,169.0,Head to Historic Wagner Farm for Saturday's Farmer's Market — Opens at 8AM. #GlenviewIL  https://t.co/ggvjVA9Hv6 https://t.co/lQTaIZ4SvU,Business,"head to, opens at ",business (content),
169,170.0,We have our bag for Elgin Farmers Market this afternoon! #ExploreElgin https://t.co/zHmzo8VWnZ,Business,bag,business (content),
170,171.0,"Indoor Market today 9a till Noon and some special treats from The Market at Gaetano's too!

Batavia Farmers' Market https://t.co/xYO8NaIg5J",Business,today till noon,business (content),
172,173.0,"Here's tomorrow's opening day line-up for Edgebrook Farmers Market! Stacked with flavor. @localgoodschica #sausagekonig #chicagosausage #craftsausage @ Chicago, Illinois https://t.co/R38UOJ9Nfm",Business,opening ,business (content),
174,175.0,"Visit Socks & Souls today at the Old Town Bloomingdale Farmers' Market from 3:00 p.m. to 7:00 p.m as Socks and Souls will be a guest vendor this week! For every pair of socks sold, a pair… https://t.co/AFYdoZJI8N",Business,"visit, today",business (content),
178,179.0,"Check out the Farmer’s Market in the MTCC Bridge today till 1:00.
#FarmersMarket #IITDining https://t.co/cxEii5zdN4",Business,"check out, till",business (content),
179,180.0,"Due to illness, Chuck from Swingbelly Farms​ will not be able to join us for storytime next week at the La Grange Farmers Market​. BUT, we still have a great story planned for storytime! We hope Chuck feels better soon & hope to see you June 14 at 11am on the village hall lawn. https://t.co/ZBpRlaFBfz",environment,"join us, storytime, illness",,
180,181.0,Witness the power of food! Students at @ChiPubSchools @MitchellBobcats tasted tea for the first time and are now creating their own tea to sell at the farmers market. Learn more and donate to support food education for students here: https://t.co/ucdGsjJkCr https://t.co/OyooPibaz8,environment,"donate, support, students, learn",,educators
181,182.0,"Our community partner Illinois Stewardship Alliance is in need of volunteers to count attendance at the Old Capitol Farmers Market THIS Saturday! Shifts are available every Saturday until the market closes at the end of October. 

Sign up here:... https://t.co/Br3byRMptR",environment,"volunteers, attendance, sign up, community",,
182,183.0,"Picked up some veggies at the farmers market, gonna make noms with em and may or may not post how it goes ^^",availability,"picked up, vessgines, ^^",,consumers
183,184.0,"Between farmers market season, CSA boxes, and impulse shopping at grocery stores, it’s easy to wind up with a lot of fruit. So, make this fruit salsa.  https://t.co/mrmKgVUNWF",availability,"a lot of fruit, fruit salsa",,
184,185.0,GIPNA Farmers Market today! We are celebrating Murphy School and having some fun among the veggies 🌽. Join us at 11:00 for the family picnic too. @GIPNAorg @EcoActivista @CPSN1Deputy @dspuhr @RobertaSalas #parentinvolvement #caringcommunity https://t.co/KPtQyX15gB,Business,"celebrating, beggies, join us at, family picnic.",business (content),
