,No.,Tweet,Label,Words,Notes,Contributor
183,184.0,"Between farmers market season, CSA boxes, and impulse shopping at grocery stores, it’s easy to wind up with a lot of fruit. So, make this fruit salsa.  https://t.co/mrmKgVUNWF",availability,"a lot of fruit, fruit salsa",,
185,186.0,up making coffee to give me the energy to go get coffee at Portage Park Farmers Market (last of year) &/or Cafe Urbano,environment,coffee,,
186,187.0,When you go for your morning run and stumble upon a farmers market! #atlanta… https://t.co/FE00Ed50sF,environment,"run, stumble upon",,
188,189.0,Tomorrow is your last chance to take our customer survey at the Farmers' Market! Come tell our volunteers what you want to see from us! The survey will still be available online through the month of July at:  https://t.co/VgspOQvXEh https://t.co/CVof2dNXA7,environment,"survey, volunteers",,educators
189,190.0,Today was fun. Found a little farmers market downtown w/ some of my favorite people. https://t.co/DPDt7Ry99u,environment,"fun, favirite people",,
190,191.0,Upcoming Event: Huntley Farmers Market - 8/25/2018  https://t.co/S5QzPgxKjH,environment,upcoming event,,
192,193.0,"We’re honored to sponsor the @boonecohealth Annual Farmers Market and Wellness Fair! 🍏🍅🌽 Come enjoy a variety of fresh food and resources on 7/17 from 9am-3pm! For location details, please go here: https://t.co/ihjj1NzKoW",availability,"sponsor, a variety of fresh food",,
207,208.0,"@ninaandtito Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,"poor, STAMPS",,
208,209.0,"in addition: capitalism isn't inherently bad, it's just that people are selectively ignorant and will support shitty companies with bad policies. 

a farmers market is just as capitalist as a grocery store, the people running just actually give a shit about their customers.",economics,"capitalism, policies",Environment,
211,212.0,I almost had a warm breakfast. But oh you know working outside at a farmers market when it’s cold sucks the life out of everything.,environment,"cold, outside, life",,
213,214.0,unfortunately i let a girl at the farmers market talk me into getting one of those vegan noodle salad things and i cannot take the texture of it,quality,"unfortunately, cannot take",,
214,215.0,Kiddo who rarely eats veggies requests a butternut squash at the Farmers Market. And what do I do to thank him? Accidentally wack him in the head with it as I put it in my bag. :(,environment,"kiddo, accidentaly",,
215,216.0,"I have dozens of stories of being demeaned by men working that job which involved operating a farmers market stall at locations in downtown Chicago, esp those wearing the dumbass stock market trading floor jersey jackets.",behavior,"demeaned, dumbass",,
217,218.0,@TheAliceSmith I don't think these idiots appreciate the irony of spreading their nonsense at a farmers market,quality,nonsense,,
220,221.0,there have now been 5 white women that walked in here to throw things away in our trash (despite the fact that there is a large trash can outside specifically for the farmers market) and none of them acknowledged any of us they just walked in and put their shit in our garbage,behavior,"acknowledged, shit",,
222,223.0,So...my band is playing an acoustic 4 hour set Saturday morning at the Downers Grove Farmers Market...so if @DavidDobrik & co. stopped there before the podcast...that’d be cool.,environment,"band, acoustic, set",,
223,224.0,@alexwennerberg have you ever been to the farmers market? i was considering going today but if it's not fun I am not braving the heat,environment,fun,Heat - Convinience,
224,225.0,"Today was the first day for the farmers' market. I probably didn't need donuts, beef sticks, pork kabobs, AND Ethiopian, but whatever.",availability,"donuts, beef sticks, pork kabobs",,
229,230.0,@mariancall Same! I am spending a lot of time unlearning things. BTW - if you've never tried the wonders of the tomato sandwich (a Southern & African American specialty) you should give it a try if you have any garden or Farmers Market tomatoes.,quality,wonders,,
230,231.0,"P2:
Environmentally friendly energy (solar, wind, geothermal, hydroelectric)
More jobs across the board
Hobbies becoming careers
Farmers market

I am against:
Same things she is
Genetic modified food
Preserves 
Obesity 
Food disorders
Forced taxes and tariffs",economics,"jobs, careers",,
231,232.0,"Why do so many cities have ""Farmers Markets?""  Its not like farmers reciprocate with ""Urban Markets"" with a whole bunch of things made by city dwellers like crack and a bunch of stupid Etsy crap.  Trump should hit them with tariffs until unfair urban/rural trade imbalance fixed.",economics,"Trump, tariffs",,
232,233.0,"#Elmhurst Its gross that any kind of politics are allowed at the #farmersmarket
This should be a politics free zone .",environment,"zone, politics",,
233,234.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market, do you blame the cow? No you blame the butcher who sold it to you. Buy any product, from a source you trust, liquor store, wine shop, cheese shop, etc.",quality,,,
234,235.0,"@WoodlawnWonder Yeah I don’t see a competing farmers market as a threat. And the vendors choosing to leave speaks volumes. I get that a CBA is wanted, but I’m still not hearing a sound argument. I am certain there are aspect of this I’m missing, and I want to learn them.",economics,"competing, vendors, threat",,
236,237.0,Farmers markets are my shit,quality,my shit,,
238,239.0,@FreyDrew They have frozen ones at our farmers market and they’re absolutely absurd.,availability,have,,
239,240.0,"tfw you drive your chrysler pacifica into the center of the local farmers market and still need a bag for your single cucumber and package of raspberries but can't be bothered to pick them up and save them, they are garbage and have been sentenced to The Vacuum https://t.co/X9rh7rPiaN",convenience,"bothered, still need",,
240,241.0,i’ve been going to the farmers market every weekend for a couple months and my quality of life has drastically improved,quality,quality,,
241,242.0,WHO do i have to F*CK at this farmers market to get some frig*en napa cabbage?! 😤😡🤬,availability,"get, napa cabbage",,
242,243.0,"@bryanbinaxas @twymannnn @aniyarenee @FeelRiteMarkets Did you know that the program, SNAP, that allows people to use their benefits at farmers markets will no longer be able to do so after August? So even if poor people could make it to a market, they can no longer afford to shop there?",economics,benefits,,
243,244.0,"@theworstkirst @tictoc And if it isn't? Shop locally grown. I don't know of all the farmers markets/farms in McHenry County alone, but there's so many and yet Crystal Lake just got a new grocery stores that's not even bulk friendly. Unnecessary things like this",convenience,"Unnecessary, so many stores",,
244,245.0,@sprucewolf @BenDoernberg @wmhilton @buritica @taylor_atx these places may exist but they're way harder to buy from? Like I live in a major metro area and have no idea where farmers markets are and don't feel like waking up at 7am on a Saturday to buy produce anyway.,convenience,"waking up, don’t feel like",,
247,248.0,@Ballpit_Gangsta Next are the sage smudge sticks to burn in your home.   Great for cleansing bad energy or so I hear.  Actually they sell them at my local farmers market and I should try them.,availability,sell them,,
248,249.0,Going to the farmers market and watching the crappy vendors glare at the vendor with the long line and the good veggies is the highlight of my weekend.,environment,long lines,,
249,250.0,"No way, this dude just tried to sell me some artisanal small batch honey at the Farmers Market.",availability,sell,,
250,251.0,@Chase Please stop giving me $100 bills in the ATM. I am not going to communion parties in August and most farmers’ markets can’t break a hundo. #foreigncurrency,convenience,can't break,,
251,252.0,"Camden Farmers Market on #Yelp: Update 10/2/18 
This place has gotten terrible with security. Almost every day ther… https://t.co/nXBNogsftK",environment,gotten terrible,,
252,253.0,Some markets in Illinois will no longer be able to allow people to buy their produce with LINK cards. https://t.co/HpJD5QqZYL,convenience,,,
255,256.0,"First order of business today: 
Stopping at the farmers’ market in Daley Plaza to buy a pecan roll that’s as big as my face.",availability,pecan roll,Also quality,
258,259.0,Hurting the poor and farmers with another questionable federal contract.  https://t.co/2wrWcmVG0V,economics,poor,,
260,261.0,"I only buy locally sourced/grown weed from my local farmers market. I won’t touch bud if it’s not gluten free, dairy free, whole range marijuana cigarettes. Stop buying wholesale from shady spots and #ShopLocal",quality,"locally, sourced, gluten free, dairy free",,
261,262.0,@MatchboxGinny Nooooooooooo shut upppppp but also yes there is a farmers market and I’ll probabiy go get some pastries,convenience,,,
262,263.0,"@waltshaub Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,,,
265,266.0,Marijuana ‘Farmers Markets’ Won’t Happen In California Yet After Bill’s Failure - https://t.co/Mr0zS4lmZ0,availability,Marijuana,,
266,267.0,"Lol, we can say names, too. Bob, Lenny, Sue, Pam. Heres one for you, Brandon Styza. Tell your boy to pack up his goat cheese kiosk at the farmers market and bounce cuz business aint gonna be looking too good. Fucking farmers markets? Really? 🙄",economics,business,,
268,269.0,just went to the farmers market because I’m a HUGE fan of frustrating crowd behavior,environment,"crowd, frustrating",,
269,270.0,Also at today’s farmers market I overheard this remark from a vendor complaining about this week’s LSD protest: “I just don’t get it. What does protesting accomplish? Protesting has never accomplished anything!” 🤦🏻‍♂️,behavior,,,
270,271.0,not every neighborhood without a gate around it & a farmers market every weekend & shit is the hood lmao ur ugly as hell if u think like that,environment,neighborhood,,
271,272.0,@thistallawkgirl No one had spicy peppers at the farmers market. How am I supposed to burn out my colon now?!,availability,"spicy peppers, had",,
272,273.0,Progressives hate Capitalism and love Socialism but they love farmers markets (capitali$m) and hate WalMart (what Socialism ends up looking like).,economics,"capitalism, socialism",,
276,277.0,"@jbillinson Nothing in a can is better than fresh.  Avoid the aisles.  If it doesn’t rot in a can or a box, those chemicals rot you.  #FarmersMarket #BuyLocal",quality,"BuyLocal, rot",,
280,281.0,"Run out of salad at the farmers market, fuck this. #thinkhomewood",availability,run out,,
284,285.0,the downtown farmers market sux,quality,sux,,
285,286.0,@james_p_simpson So you're arguing that the genetic modification that donna from that 70s show is avoiding by going to a farmers market has been around for hundreds of years?,quality,genetic modification,,
287,288.0,bought an apple pie at the farmers market even though i hate pie just for the sake of f a l l 🍂,availability,apple pie,,
288,289.0,they aint got no plants at the farmers market only cut flowers smh im Pissed,availability,"aint got, only cut flowers",,
290,291.0,"@johnpavlovitz Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,poor,,
291,292.0,I bought some cookies from these Amish motherfuckers at the farmers market. They’re shit. I’ll never buy another Amish baked good in my life.,quality,"never buy, shit",,
292,293.0,"@realDonaldTrump The only time farmers markets are closed is when a idiotic narcissist such as yourself, inserts his fat, low IQ ass in the middle of it. 6 bankruptcies, affairs while married, great embarrassing job Bonespur! Corn farmers get 1 cent/bushel, that is a SAD job 🤬",convenience,closed,,
294,295.0,i just found grain free granola at the farmers market don’t even talk to me when i’m back on my gluten free shit baby,quality,"gluten free, grain free",,
296,297.0,Shitty weather on farmers market days should be illegal,environment,"shitty, weather",,
298,299.0,"Important piece of wisdom (don't know why I've waited so long to share): Unless you have access to very high quality buttermilk from a farmers market, you should be substituting plain kefir (1 for 1) in all recipes calling for buttermilk.",quality,quality,,
300,301.0,Community Food Waste Programs Make Good Fit for Farmers’ Markets https://t.co/V2LVJT2q7r,environment,"good, fit",,
301,302.0,"Ok, so your like wtf? Then. Sure go to a farmers market... Its so over priced its comical",economics,overpriced,,
302,303.0,@PGdadTV @Eagles @phillydotcom @CBSPhilly @PhillyMayor @PhillyDailyNews @PhillyInquirer I think the real crime here is the one committed by Amber. She is smothering a minority with her whiteness. Have you ever seen a Latino at a Amish farmers market? She's replacing his vibrant minority diversity with her bland white homogeneity.  Shame on you :(,politics,,racist politics,
304,305.0,Now is our time to put our money where our values are. Go to your local farmers markets and then go see where your food comes from from each of these farmers. Sadly some farmers are not of the integrity level that we assume if they have organic signs. Absolutely eat local!!,quality,local,,
305,306.0,Working the farmers market for over 10 years I get my fair share of interesting questions. Today I had a lady ask me if we had oranges. I looked at her and told her oranges cannot be grown in Illinois. She was not happy with my response.,availability,"had, oranges",,
306,307.0,tried oat milk for the first time today at my neighborhood’s farmers market coffee bar and FUCK i see the hype,quality,hype,,
307,308.0,Unfortunately the weather has decided to be wet.....so we will not be attending the Jefferson St.  Farmers Market today. Sorry folks.,convenience,"weather, wet",,
308,309.0,"hearts to the the people doing Gods work at The Plant farmers market in Chicago, directing people on how to throw away trash/compost/recycling. https://t.co/8c8QwK8jeg",environment,at,,
314,315.0,at the farmers market doing hoodrat shit with my friends,environment,hoodrat,,
315,316.0,@glorbis OMG there is a farm that is at some of the farmers markets that primarily sells apples. They will force you to eat samples of their patented cotton candy apples & unfortunately my face does not have the proper filter to avoid displaying the disgust I had upon biting into it. o_0,quality,disgust,,
316,317.0,My grandmother went to her first farmers market today. She complained about the crowds and strollers and dogs and she said “and everything is more expensive than the Jewel!”,environment,"crowd, strollers, dogs",,
319,320.0,Racist rant?! Woman berates customer at Trenton Farmers Market https://t.co/5D56jTEHvz via @YouTube,behavior,,,
324,325.0,Organic & non-GMO is a scam now and always will be a scam. You wanna know what you’re eating? Buy from your local farmers at a farmers market. BTW Invest in your local farmers and watch your local ecomy grow.,quality,local,economics,
325,326.0,"Farmers' market treasures: basil, chard, cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, and a pot of thyme to replace the sad pot in my kitchen, which replaced the pot I killed last year.  Third thyme's the charm?",availability,"basil, chard. Cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, thyme",,
329,330.0,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRONMENT-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can bother w/farmers markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",economics,Trump,,
330,331.0,"@RepAdamSchiff  Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",economics,poor,,
332,333.0,We all need to eat fruits and vegetables - even people who can’t afford it - why does Trump hate the poor? https://t.co/xddF88gEq5,economics,"afford, poor",,
333,334.0,"@pablitasan @NutmegRadio Factory farming, using the same bland corn based feed. Same reason eggs taste like shit. Gotta raise your own chicken and feed the garden scraps to get good eggs. Or shop the farmers market.",quality,"shit, good, bland",,
334,335.0,Brattiest thing I’ll say all month but i must speak my truth: Full offense I hate that I can’t take my dog with me to run errands also why can’t they sell beer at the farmers market,availability,"sell, beer",,
336,337.0,"@neilworms Part of me feel like buying food away farmers market addresses the environmental concerns. As for ""rewarding"" bad behavior, I don't know what to say about that.",economics,buying,,
337,338.0,I'm about to go to the farmers market to just sketch and draw and not buy anything kdjsjsjsj,environment,"sketch, draw",,
338,339.0,"Sunday, Corey Chatman from Experimental Station helps unravel the byzantine situation that might lead to thousands of people losing the ability to use their #SNAP benefits at U.S. farmers markets. If that sounds outrageous to... https://t.co/P14lYYDXdu",economics,benefits,,
339,340.0,"@brycetache Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at Farmer's Markets...

https://t.co/SkupRSQ3ke",economics,poor,,
341,342.0,Kaylan & I are going to the farmers market this weekend & that shit sounds like a major bop,environment,bop,,
342,343.0,Stop getting outraged about finding bugs/small animals in your farmers market produce. Just wash your produce and move on with your life.,quality,"bugs, small, animals",,
345,346.0,Grocery-store fruit often has less flavor than farmers' market offerings; does it have fewer vitamins as well? Or does food that tastes bland still have all the nutrients?,quality,"bland, nutrients, vitamins, flavor",,
347,348.0,"Sometimes a flavor you had only once sticks in your head. 4yr ago at Your Dekalb Farmers Market, I bought pressed Honeycrisp apple juice that wasn't uv-treated or pasteurized, and it was absolutely clear. Took a sip, saw God, and the bottle was empty. 🍎",quality,"uv-treated, pasteurized, flavor",,
348,349.0,"The farmers market accepts Link/SNAP. I don't even shop at the farmers market. Homemade organic apple pies are a luxury not in my budget because taxes are taken out to support people who can, in turn, buy homemade organic apple pie",economics,budget,,
349,350.0,Expensive Farmer’s Market https://t.co/6eUupX5EhB,economics,Expensive,,
351,352.0,If you ain't taking yo girl to the farmers market to cop some fresh ass produce you lacking boy,quality,fresh,,
352,353.0,@kobelt87 Will I went to the farmers market and I got a terrible bite on my ankle and arm these mosquitoes are to savages.,environment,"mosquitoes, terrible",,
356,357.0,fucked up how all farmers’ markets are in the pocket of Big Kettle Corn,economics,pocket,,
357,358.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market and it sucks, do you blame the cow? No. Buy any product, from a source you trust, with any product, but especially a live product like beer, wine, or cheese!",quality,,,
358,359.0,There is at least one pyramid scheme at every farmers market,environment,"every, at",,
360,361.0,These farmers’ market eggs really tasting like scrambled gold,quality,"gold, tasting",,
362,363.0,"Okay ladies so this is for science (aka to help formulate topics of discussion and solve problems in architecture): 
What are some main things that you hate about farmers markets (i.e. Layout, no places to sit, etc)??",environment,"architecture, layout, sit, places",,
364,365.0,SNAP shoppers can get up to $40 esxtra to spend on fresh produce this week at the Champaign Farmers Market from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/Bo93unWH3U,economics,$,,
365,366.0,"One draw of living in Oak Park is the Farmers' Market, a dynamic, open-air, producer-only market held from 7 a.m. to 1 p.m. (rain or shine) every Saturday through October. The market is held in the Pilgrim Church... https://t.co/CnTRWvvzdc",environment,"dynamic, open-air, producer-only",,
368,369.0,best thing about mariano’s is the fresh squeezed orange juice sold by the half gallon. farmers market whom?,quality,fresh,,
372,373.0,Another fun summer day. We went to the farmers market and tried a different park out!  #sundayfunday #babyvega #lifeisgood #cuterthanmost https://t.co/cNMPP4jDEf,environment,fun,,
377,378.0,Batavia farmers market still draws crowd in 23rd year https://t.co/5C7xpm8IvR,environment,crowd,,
378,379.0,@day_bowbow Farmers Markets are becoming quiet corporate imo,economics,corporate,,
383,384.0,"I made it to Portage Park Farmers Market, FINAL DAY of (Six Corners) Sears (separate thread later), Southport Arts Festival, Taste of Chicago, & friend's legendary cookout at bar. so far...",environment,,,
385,386.0,Calling all musicians!!! The Downtown Hyde Park Farmers Market is looking for you to potentially play at the market on Thurs June 7- October 25! Slots are 1.5 hours long w/ a stipend provided...Interested? Send your bio & links to Amy at acsrodon@uchicago.edu https://t.co/o7ToTdkTOw,environment,musicians,,
387,388.0,The top of @HopsmithTavern has #livemusic and a #retractableroof for a #finedining experience. @ Division Street Farmers Market https://t.co/paxCqaH7At,environment,"live, music, roof, finedining, experience",,
389,390.0,"Whether you want to know the origin of a particular food, how to prepare an ingredient or a creative way to cook a dish, someone at your local farmers market will know the answer. https://t.co/Bm2rDid8pe",convenience,,,
396,397.0,"Smell of fresh #donuts in the air, local business owners, parking for bike, scooters, strollers and labradoodles!  @VillageofCH #FarmersMarket #seeyouthere https://t.co/RywYiYXDK3",environment,"smell, air",,
397,398.0,An organic farmers market https://t.co/2c66GStCAv,quality,organic,,
398,399.0,"@TheDreamGhoul I think you should explore the difference between selective breeding and genetic modification, and farmers market corn compared to Monsanto corn.",quality,genetic modification,,
405,406.0,Choose your local farmers market to to be #healthy with fresher veggies - https://t.co/oflllSmTM4 https://t.co/DaODAqHIDK,quality,"healthy, fresher",,
