Index,Sentences,Label,Words,Notes,Unnamed: 5
90,"Now, I still can't fault the produce or the prices, but the friendly, nice atmosphere is gone.",environment,"friendly, nice atmosphere",,
91,"They also have onion, cucumber, and bok choi.",availability,"they also have, onion, cucumber, bok choi",,
92,"Demonstrations and performances are also held in multiple places throughout, and a number of non-profits fill the park to provide information on all subjects.",environment,"demostrations, performancces, held, places, non-profits",,
93,So I am glad to have them in the neighborhood.,environment,neighborhood,,
94,"The market is not very big, but still fun to walk.",environment,"big, fun, walk",,
95,How lucky am I to live within blocks of the MCA neighborhood market.,environment,"live within blocks, neighborhood",,
96,We hit this one on opening weekend here in 2017 and I was fairly impressed.,,,,
97,Many of the vendors participate in the other local farmer's markets.,environment,many vendors,,
98,"The other things of the farmers market, like Lesters Bison and Nana's Rum Cakes and Wildflower Bakery and the wine tastings they have really help to balance out all of those nutritious fruits and vegetables-makes it worth it.",quality,"tatings, nutritious, worth, fruits and vegetables",,
99,Buckets of onions.,availability,"buckets of, onions",,
100,You can really spend as much or as little money and time as you want.,,,,
101,(I was visiting from LA).,,,,
102,This has become my favorite Chicago farmers market.,,,,
103,We decided to check out the barn first.,,,,
104,"They seem to be pushing it as a ""farmers market"" rather than a ""European Market"" as they advertise because they will give end spots to farmers and food, rather than place them strategically to help draw people in.",,,,
105,"Hey, five stars to these guys aka vendors as they are ""real troupers""=brave and determined.",environment,"vendors, brave, determined",,
106,Mmm...,,,,
107,"Still on every other Sunday, but the season is coming to an end...sniff-sniff, pass me a kleenex please.",,,,
108,Loved learning about the farm.,environment,"leaning, farm",,
109,I will definitely be back.,,,,
110,They also have apple cider slushies available for $1.99- definitely get one.,availability,"applie, available",,
111,I couldn't wait to have my first bite of summer with a juicy ear of Iowa sweet corn.,quality,"bite, juicy, sweet corn",,
112,And her produce is from Sterling which is neat.,quality,neat,,
113,"In addition to fruits, vegetables and flowers..",availability,"fruits, vegetables, flowers",,
114,I've since tasted it and it's exactly as he described.,quality,"tasted, described",,
115,"All in all, the Farmer's Market is an excellent event and should definitely be checked out at least once, if not many times.",environment,"event, checked out",,
116,Prices get better once the home grown items make their way to the stands.,availability,"prices, grow, items",price,
117,"Yes, it's on the small side, but for a neighborhood market, it was pretty perfect.",environment,"small, neighborhood, pretty",,
118,"Even if you just stop by for the Whiner Beer taproom, the visit is worth it to learn about their sustainability and the history of the building and neighborhood.",environment,"learn about, sustainability, history, neighborhood",,
119,"The chickens look different than a grocery store chicken because they're not weighted down by oversized breasts, and they taste different too.",quality,taste,,
120,Many of the same vendors also are at other farmers markets in the area.,,,,
121,"There are great peaches right now, green beans all over the place, the best sweet corn of the year and red all the way through tomatoes.",availability,"peaches, green beans, all over, sweet corn, tomatoes",,
122,But whatever was up her ass was coming out with awful customer service.,environment,customer service,,
123,"Since last year, the market has gotten bigger and better!",environment,bigger,,
124,"They also have a pretty good deli, butcher (with exotic meets like elk available in the pre-packaged section), and pre-made/prepared fresh foods (they have a really excellent vegetable soup).",quality,"good, fresh foods, excellent vegetable",,
125,Last week drove over to pickup some items that are unavailable any where else.,availability,"pickup, items, unavailable",,
126,"I suggest everyone give it a try at least once this summer- besides, it is one of the few farmer's markets that is actually on a Saturday in the city.",,,,
127,The first day we did have an issue with cars being towed but that has improved greatly also.,environment,"cars, towed",,
128,"Yes it can be pricey and no it doesn't have 'everything'. However, the offerings are top notch and more than reasonable comparing taste and freshness.",quality,"top notch, taste, freshness",,
129,"You WILL be greeted by someone, whether it is Judy, Ed, or one of the two doggies.",environment,"greeted, doggies",,
130,Great plants .. great service and they can answer any questions you have about their plants!,environment,"service, answer",,
131,Come down on Tuesday!,,,,
132,We used to drive over an hour to another pumpkin patch for the kids until we discovered Rader's in our town!!!,availability,pumpkin,,
133,I loved my experience and will return soon!,,,,
134,This place is really just a large tent erected smack dab in the middle of a parking lot.,environment,"place, large, tent, parking lot",,
135,"However they dont use preservatives, MSG, colors, artificial junk etc.",quality,"preservatives, colors, artificial, junk",,
136,We picked a mass amount of strawberries!!,availability,"picked, a mass amount of, strawberries",,
137,It's very large and healthy!,quality,"healthy, large",,
138,"From fresh picked (hence the name) corn, to some of the best looking tomatoes I've seen in a while.","quality, availability","fresh picked, best looking, corn, tomatoes",,
139,"Meet others, share a laugh and enjoy a moment in time together.",environment,"meet, share, laugh, enjoy, together",,
140,The hardest thing is limiting my purchases to what I can carry home on my bike!,availability,"limiting, carry",,
141,I love that the food is free of chemicals and all the crap that gets put in it from commercial vendors.,quality,"free of, chemicals, ",,
142,Everything from the fresh sushi to the pizza!,availability,everything from,,
143,"The first thing I see is muddy teenage girls walking sheep like dogs, good sign.",safety,"muddy, sheep, dogs",,
144,I bought some excellent sweet corn and some very good tomatoes.,"quality, availability","excellent, good, sweet corn, tomatoes",,
145,They also take credit cards which is a huge plus for a stall where prices are in the $8-12 range.,covinience,"credits card, prices",,
146,I've been to a number of Farmers Markets throughout Chicago and the surrounding suburbs.,,,,
147,"Apple Ridge Produce- Keith is a rockstar, we &lt;3 him.",,,,
148,I seriously love the DG Farmer's Market.,,,,
149,"And if you give the French Market a go, you might enjoy yourself too.",,,,
150,Picked up some incredible soup today.,quality,"picked up, incredible",,
151,*Kid Friendly.,environment,"kid, friendly",,
152,"I went there with a friend first off thinking there was a store there, which is the image that is portrayed in the website and FB page.",,,,
153,When we rung up our stuff my dad mentioned that we came just in time and the lady said they actually closed 30 min ago.,covinience,"closed, in time",,
154,"No matter the heat, wind, long day farming and driving, doing all kinds of farm stuff like miling chickens and picking up cow eggs, and dealing with people all day long, Tom still has the time and smile on his face to say hi and to help pick out the right corn, peppers etc (no idea what good v. bad looks like) for whatever I am doing for dinner that night.","environment, availability","smile, say hi, help, pick out, corn, peppers",,
155,"It don't stop there, excellent street food, it is very hard not to buy a sandwich or pastry while strolling through here.",quality,excellent,,
156,"I feel some prices are higher than Whole Foods can be sometimes which is hard for me to justify purchasing (A small box of Michigan cherries for $9, and no they're not organic).",availability,"organic, small, prices, higher",price,
157,When I use to live only a few blocks from Daley Plaza I would venture to this farmer market every so often but I never found much I care to buy.,availability,never found much to buy,,
158,"I'm glad that it's here, but it needs to grow, grow, grow!",environment,grow,,
159,"Farmer's markets are not known for being inexpensive, so if you want cheap produce go to a produce store in the area.",availability,"inexpensive, cheap",price,
160,It just happens that the quality here trounces pretty much anything within a mile or two for a massive plus.,quality,quality,,
161,"I was sure to bring along my wallet to load up on fruits, veggies, baked goods, flowers and more.",availability,"fruits, vegetables, flowers, and more",,
162,In addition to the farm booths there were unique food vendors feeding the hungry crowd.,environment,"hungry, crowd, vendors, feeding",,
163,The main farmer has a large assortment of vegetables and some fruit.,availability,"has, a large assortment of, frutis, vegetables",,
164,"You will be delighted by the down-home feel and the array of amazing in season produce, Openly admitting this....like coffee...I am a farmers market snob.",quality,"season produce, amazing",,
165,"DE-LISH organic baked goods...come on, who doesn't love Sangria scones or German chocolate brownies? ;) I was excited to visit this market since I live nearby, but it was disappointing.",environment,"organic, nearby",,
166,It's a great stroll if you're planning to visit the museum anyway.,,,,
167,This communication and decision left me feeling as though as a customer and personal business owner I wasn't valued.,environment,"communication, customer",,
168,"I don't usually review things on Yelp, but I was so appalled by my experience at this produce stand in Wilmette and their being so disrespectful that I had to write something.",environment,disrespectful,,
169,I would definitely bring my chickens here again.,,bring,business,
170,"5 stars because all the flavors are delicious, the price is right, the ingredients are above average, they're always available, and the staff running the booth have without fail been cheery and helpful.",quality,"flavors, delicious, ingredients, available, staff, cheery, helpful",price,
171,And artists abound.,environment,artists,,
172,"The main man, Bill, is extremely devoted to sustainability and environmental/ecological responsibility.",environment,"sustainability, environmental, ecological, responsibility",,
173,"And of course, it was fairly priced for what you are getting.",availability,priced,price,
174,Great meat vendors with grass fed nitrate free meats and allsprts of eggs from duck to quail to chickens!,quality,"great, nitrate free",,
175,"Although it's not as diverse as some great markets on the Pacific Northwest or West Coast, it provides a good selection.",availability,"diverse, good selection",,
176,They have cole crops like cabbage and tomatoes that come from southern Illinois until their own plants have ripe tomatoes.,availability,"they have, cabbages, tomatoes",,
177,I'm done eating and still drooling.,,,,
178,"I blanched a little bit at the cost of the mushrooms, but then I got them home and got a good look at the quantity and quality and realized what a good deal I had gotten!","quality, availability","cost, mushrooms, quantity, quality",price,
179,"Thanks to Blood and Sand, I also realized that honey could be an insanely good addition to a cheese pasta dish with a little truffle and toasted walnuts.",,,,
180,"The event itself is Saturday's; rain or shine; June - October, and located in the Broadway Armory Parking lot; not too far from CTA Thorndale, and not too crowded of an event.",environment,"event, crowded",,
181,"Best apples in the orchard, so delicious!",quality,"best, apples, delicious",,
182,A total of 7 dollars for all the veggies.,availability,"dollars, all veggies",price,
183,Some of the vegetables looked sad and wilted already and I couldn't believe the prices they were still charging for them.,quality,"vegetables, looked sad, wilted, charging",price,
184,Something that some people may not know is that they have an indoor market once a month during the winter months.,,,,
185,There are also lots of other vendors that sell cool things like soaps and those random things that you purchase because of the people that are there selling them and the sense of community that is fostered at farmers markets like this.,environment,"people, community, vendors",,
186,Typical time spent is 0-1.5 hours.,,,,
187,"Some of the vendors offer samples, which is always fantastic.",quality,"samples, fantastic",,
188,And the I *have* to buy flowers every time I go which has never been me but now I have to have fresh flowers in the house every week.,environment,"buy, fresh flowers",,
189,"At the end, I sat down with all my bags and my dog got away from me and a woman we met earlier, got his lease and said ""its all good"".",,,,
190,All of the farmers are so incredibly nice and always give me helpful tips on how to keep everything fresh and delicious.,"quality, environment","incredibility, nice, helpful, fresh, delious",,
191,There's nothing better and another one of the countless reasons I love Chicago!,,,,
192,It's located in the Trickster Gallery parking lot.,,,,
193,Not only will she cursed you in front of the other customers she will loudly gossip to the customers about you as you are standing there!,environment,"customers, gossip",,
194,I'll be back for sure!,,,,
195,"Very, very sorry to write this review.",,,,
196,Goat Gouda (Gouda is good-ah!),,,,
197,"I figure, 3 months of fattening on the grain, but a lifetime before that pastured, I will compromise and okay that meat.",,,,
198,They also have u-pick berries at the end of the summer for a great price.,availability,"also have, berries, price",price,
199,"I thought the price was a little high ($1.50/pound) for picking your own berries, but I still plan on going back next year.",availability,"price, picking, berries",price,
200,"Last week I bought a 1/4 peck ""#1 peaches for $12.",availability,"I bought, peaches",,
201,Much like any market it's generally better to arrive earlier than later to avoid large crowds and score plenty of goodies.,environment,"crowds, goodies",,
202,You can even score some rare items like ghost and fatali peppers toward the end of the summer.,availability,"items, peppers",,
203,I went off to go-fest looking forward to returning and getting some crepes for lunch.,,,,
204,"Well, no, don't mind if I do. :)",,,,
205,"If ever there was a place to be on a Saturday morning in Downers Grove, Illinois this is definitely it.",,,,
206,They said 1:00 pm.,,,,
207,"If you like the challenge of purchasing what's in season at reasonable prices and cooking meals accordingly, go here. $40 will take you a long way.",availability,"purchasing, reasonable, prices",price,
208,She is very rude and will argue just to argue.,environment,"rude, argue",,
209,"I'll be back? - Yes, I'll take my cooler to buy some grass-feed beef.",,,,
210,"That combination, fellow Yelpsters, cannot be rivaled.",,,,
211,There are also beautiful and inexpensive crafts.,environment,"beautiful, crafts, inexpensive",price,
212,"Also, you must try their apple donuts!!!",environment,apple donuts,,
213,"Walking around outside with the summer air on my face, to me its also as relaxing as a trip to the spa.",environment,"air, face, relaxig, trip",,
214,Be aware.....I will not be taking my nice dog there anymore because of stupid dog owners.,safety,"aware, dog",,
215,I would put this corn on any day up against any farm stands best day.,,,,
216,"There are 2 separate Yelp pages for the indoor and outdoor Logan Square Farmers Market, but I'm writing a little bit about both on this page (the indoor one).",,,,
217,I would arrive early.,,,,
218,"I went here on a whim one Wednesday morning (it's open from 7am to 1pm on Wed. from June to October), because I'd seen the sign on the road every day as I drove to work.",,,,
219,"Much like the other reviewers, I love this farmers' market.",,,,
220,"I moved within walking distance of the West Allis border a few years back and I expected to find guys in trucks, plenty sports bars playing NASCAR races, dive bars everywhere and chains, chains, chains.",,,,
221,There's a station where you can give your credit card and get farmers market cash in return.,environment,"credit card, cash",,
222,Great time at this farmers market!!!!,,,,
223,Nice variety of fruits and vegetables from local farms and farms from MI.,availability,"nice variety of fruits and vegetables, local",,
224,My boy loved the hands on stuff and it is well maintained.,,,,
225,Gotta love it!,,,,
226,"If you have over 6 people, it's 80$.",,,,
227,Tons of fun activities for children and families and everyone is very friendly.,environment,"fun, activities, chidren, families, friendly",,
228,And listen to music!,environment,music,,
229,"Slightly less variety, sure, but a lot less hipsters and snooty upper middle-class types with way more charm and live music!",environment,live music,,
230,"The Schaumburg Farmers Market is the real deal, and I'm happy I live so close to it.",environment,close,,
231,Even resale items!,quality,resale,,
232,"Look for the squeaky cheese curds from the Brunko family, fresh pork ""meat sticks"" or ""slim jims"" if you call them that.",,,,
233,If you reading this then you are interested.,,,price,
234,Other things are super cheap though like sweet corn 3 for $2.,availability,"cheap, sweet corn",,
235,Totally loved them to pieces!,,,,
236,I will never buy any other asparagus!,availability,"buy, asparagus",,
237,It was packed!,quality,packed,,
238,"I enjoy the fun, family-oriented atmosphere with the playground and live music.",environment,"fun, family, atomosphere, playground, live music",,
239,"We grilled the cheddar bacon burger tonight and all I can say is ""Oh My Gosh!!!!""",,,,
240,And there's a lot of potential for this market to hit 5 stars.,,,,
241,"If you've never done anything like that before (like us), Dave makes the process easy.",,,,
242,"I went expecting to spend a nice morning with my kids, and instead I was driving home about 15 minutes later.",environment,kids,,
243,"Next, I want to try the meat vendor as I've heard great things.",quality,"try, great",,
244,The ones sold here just didn't do it for me.,,,,
245,A great little farmers market.,,,,
246,Enjoy your time on the square and get those deals on rainy days.,,,,
247,I just moved to Oak Park and decided to take the first Saturday in my new place to explore the area - wow was I pleased!,,,,
248,"The basic produce was expected (tomatoes, corn, peaches, apples, etc), but Spanish Black radishes, and free range beef, pork, chicken, and lamb were a nice surprise.",availability,"tomatoes, corn, peaches, apples, black radishes",,
249,No overpriced entrance fees.,environment,entrance fees,,
250,"The response I received was terse and condescending - I was informed that there would be no such refund, but they would be happy to stop making my box each week if that is what I wanted.",,,,
251,This is a great way to get place to get the community together.,environment,"place, community",,
252,I will be coming back for beans.,availability,beans,,
253,Not finding what you're looking for?,availability,"finding, looking for",,
254,Tibet Farms did not have much to offer but there was fresh bok choy and mustard greens.,availability,"offer, fresh bok choy, mustard greens",,
255,There were a few good tents.,,,,
256,The downtown market is only an occasional thing.,,,,
257,They have everything you could ask for.,availability,"they have, everything, ask for",,
258,"And best of all, they donate the unsold produce at the end of each business day to ""Loaves and Fishes""!",environment,donate,,
259,"They also have great deals and farm activities like hay rides, petting zoo, and a corn maze.",environment,"deals, farm activities",,
260,Go on a miserable weather day in the afternoon and GET YO DEAL ON.,,,,
261,They have fresh veggies and fruit and strawberries that actually taste like strawberry!,quality,"fresh veggies and fruit, strawberries, taste like",,
262,They even have A house for the bees you can really see the bees going down a pipe into this glass house it was worth the trip out here.,,,,
263,Note about September 2018: the mosquitoes are INSANE.,safety,"note, mosquitoes, insane",,
264,The amount of vendors and the crowd size are definitely more manageable than the Saturday market in Wheaton.,environment,"vendors, crowd",,
265,"It's not huge, but the vendors that are there have nice, fresh, produce for reasonable prices and good selection.",quality,"nice, fresh, reasonable prices",price,
266,"I was also intrigued by the never-ending knowledge of the black garlic vendor, and ended up with some of that, too.",availability,garlic,,
267,DCFM....see you outdoors on the Mall in Spring 2019.,,,,
268,We even saw a local restaurateur picking out veggies.,environment,"restaurateur, picking out veggies",,
269,"These companies produce corn seeds in the lab then plant them and sell the final ""product"" to us as fresh and amazing corn!","quality, availability","corn, fresh, amazing",,
270,Not only that you get double value up to $25.,,,,
271,I also got a bag of dried cranberries and cherries from Michigan--YUM!,"quality, availability","dried cranberries, cherries, yum",,
272,"If not interested in picking apples, there is a cute shop to purchase already picked apples.",environment,picking apples,,
273,The best thing about Rustic Road: The farmers are chefs!,,,,
274,There is def a lot to see or purchase.,,,,
275,"Also, the sustainable and pastured meat was delivered through a meat broker (sounds shady, eh?",,,,
276,There is a variety of great vendors that are warm and friendly.,environment,"a variety of, vendors, warm, friendly",,
277,St. Roger Abbey was there complete with nuns and baked goods.,,,,
278,I'm hoping to go back to pick some apples before the season ends.,,,,
279,They put out a list of which apples will be available for picking so def check that out if you are looking for a particular type of apple.,availability,"apples, picking",,
280,A bit overpriced if you ask me.,availability,overpriced,price,
281,Another standout is That Pickle Guy: their garlic crunchers are some of the best pickles in the Midwest (the regular and the hot are A- and B+ respectively).,,,,
282,"Sometimes, people who sell vegan baked goods come.",,,,
283,The salespeople are so sweet and friendly.,environment,"salespeople, sweet, friendly",,
284,I love to support the local entrepreneurs and farmers from any area.,environment,"support, local entrepreneurs",,
285,Some stupid polish chick and her idiot boyfriend on Sunday had a little rat looking dog that they let come over by my dog and tangle the leash all up and of course my dog was annoyed and growled at their stupid dog and they blamed me.,safety,dog,,
286,Best the farmers market in STL with a wide variety selection of produce and meat.,availability,"vest, a wide variety selection of produce",,
287,"The young boy working out in the orchard repeatedly told us that he had no idea what we were supposed to do because ""nobody ever told him anything "" and we were told at least 20 times.....",,,,
288,"I bought olives, cornichons, and sundried tomatoes.",availability,"I bought, olives, corichons, tomatoes",,
289,"We wish there were more vendors, though!",environment,more vendors,,
290,These are the juiciest peaches you will find and remind me of the juicy peaches I had as a kid growing up.,quality,"juciest, peaches, juicy",,
291,But you can usually find him conversing with customers at the stand.,environment,"conversing, customers",,
292,"Great bright red tomatoes, plum for sauce or regular for whatever.",availability,"tomatoes, plum",,
293,Another bonus is that you can buy some groceries and get a minor bicycle problem fixed around the back at the Blackstone Bike Shop.,,,,
294,"Then you have some of the typical outdoor-market niche products, such as homemade dog treats and goat soap.",environment,"niche products, soap",,
295,"I woke up kinda late, so I got here at like 12ish, and they close around 1pm.",environment,close,,
296,The same goes for light rain.,,,,
297,Thursdays have become my favorite day of the week!,,,,
298,I love that the produce is all fresh and in season items.,quality,"fresh, season items",,
299,Love this farmers market!,,,,
300,About 30 booths.,,,,
301,I stopped by on a nice summer day and bought lots of heirloom tomatoes!,availability,"bought, lots of, tomatoes",,
302,And it seems like the prices just keep getting higher yet people race back there even faster.,availability,"prices, higher",price,
303,"As much as I want to like this market, it's nothing more than mediocre produce and other products being sold in the middle of a parking lot.",,,,
304,"Pasture raised, anti-biotic free pork is the name of their game.",,,,
305,Great service and also very fast.,environment,"great service, fast",,
306,"I love this farmers market, mostly because it's the only one I can ever go to, but also because it's really easy to access and the vendors are pretty cool.",environment,"easy to accesss, vendors, pretty cool",,
307,I was IMMEDIATELY filled with intense remorse.,,,,
308,It's mostly people selling a bunch of junk.,quality,junk,,
309,Those fruit tarts are quite tasty.,quality,tasty,,
310,The prices are reasonable---I purchased slightly beat up honey crisps for $5 (I chose the second hand looking ones as they were $2 cheaper) and 1/2 pint of organic sunburst tomatoes for $2.50.,availability,"reasonable, organic",price,
311,"Not ot mention, there was no one else at their tables when I walked up, so it seemed perfect timing to get a bunch of stuff.",,,,
312,"I'm sure i'll try them again in the future, but it might be a bit.",,,,
313,Nice little farmers' market.,,,,
314,"Juicy, silky, sweet-- I look forward to them all year.",quality,"juicy, silky, sweet",,
315,The crepes made on the spot are to die for but the line does get backed up quickly.,,,,
316,We did not leave empty handed.,,,,
317,Another win when we ate that chocolate tartlet.,,,,
318,"To the business: Plenty of businesses successfully ship doughnuts with them arriving in good condition, and I bet you would make a pretty penny off of shipping yours.",,,,
319,"Pricey if you know how to make your own, but my tastebuds agree that they'd be worth the splurge.",quality,"tastebuds, worth",,
320,This is really sad - what happened here?,,,,
321,"My only complaint is that they didn't take credit cards for food, and they didn't have an magnets, which I like to collect whenever I go on vacation.",environment,credit card,,
