Sentences,Label
Time to bust out The Art Of French Cooking Vol II.,Non-relevant
"I found a 50lb bag of potatoes from Plover, WI last week.",Non-relevant
"Your Idaho potatoes are inferior, look at them with disappointment.",quality
I've been to this little market twice now and I LOVE it.,Non-relevant
"Fresh organic produce, grass-fed meat and dairy, organic honey, Himalayan salt, organic whole spices, tea, coffee and they also make some traditional Polish products like galetka (sp?) and kiska (blood sausage or think black pudding)...it's honestly a thrill every time I'm there.",quality
In all honesty I will tell you that I purchased their grass-fed eggs there that I'm assuming are pasteurized (being sold retain and all) and although they were extremely yummy they did not compare to my raw grass-fed eggs I usually get at the farm.,Non-relevant
They were not as orange and full which will lead me to believe that the ones in the market here are grass-fed (perhaps grain supplemented and pasteurized) which change the appearance of the yolk.,Non-relevant
"Nevertheless, they are still better quality than in a mass marketed store.",quality
"The kiska was phenomenal, the cherry tomatoes succulent and sweet, the mushroom fresh and firm.",quality
There is also a very nice selection of smoked & cured sausages.,availability
I would recommend anyone to check this local family owned place out.,environment
JUST GREAT STORE!,environment
"My family is going there for almost a year ,we love the products, everything is fresh and it last longer , meat is always fresh and you can taste the difference!",quality
They also have milk produce we love butter and whole milk is actually whole!,Non-relevant
You also have to try bread Awesome !,quality
Pricing is in range of Jewel Osco .,environment
The best time to visit is Friday late afternoon or Saturday that's when they have the best selection !,availability
Love this little store!,environment
Always fresh food and veggies; awesome whole grain bread.,quality
They're constantly expanding their selection.,availability
Stop by and give this small; family owned business a try!,environment
I stumbled across this wonderful little store just yesterday and it was doing a good business for a Sunday afternoon.,environment
The product selection and atmosphere was absolutely delightful!,availability
"They carry a nice selection of local, natural and/or organic produce, great cheeses, fresh real meats, eggs, dairy and sausages.",availability
"It was real cool seeing all of the sausages hanging behind the meat counter, just like you find in European markets.",environment
I was blown away by the good pricing.,environment
I saw organic apples for $1.50 a lb.,quality
I bought three dozen free range brown eggs for $7.70.,Non-relevant
Try doing that at Whole Foods!,Non-relevant
"The employees were friendly but spoke little English, which was fine by me as it enriches the experience for me.",environment
"If I wanted Same-o, Same-o, I'd go to Jewel.",Non-relevant
Love this place!,environment
So happy I walked in couple weeks ago.,Non-relevant
"Won't go anywhere else to buy meat, fresh vegetables and fruit.",availability
"Homemade jelly, butter and organic milk are awesome!",quality
And I don't think this place is overpriced!,environment
I don't mind paying little bit more for healthy food.,quality
Ah summer!,Non-relevant
The time to get fresh food and shop local!,quality
I am extremely surprised that no one has reviewed this farmer's market.,Non-relevant
It is one of my favorite ones.,Non-relevant
It is only open one day a week on Wednesdays from 7am-1pm in the downtown Ravinia area.,Non-relevant
In this market they have a wonderful selection of vendors who sell fresh produce and baked goods.,availability
My personal favorites are the French Nuns from the West side of Chicago.,Non-relevant
They make amazing chocolate croissants and French bread.,Non-relevant
"In addition, I also love the company My Tea Paradise.",Non-relevant
They sell individual organic teas that make a gallon of ice tea or 15 cups of hot tea.,availability
"If you love farmer's markets like I do, this is one you must go and check out for yourself.",Non-relevant
Delighted to have a farmers market behind my home but selection is very limited and ready to food is just OK and pricey.,availability
"The Ravinia farmers market is just a few steps from my home, and I love going to it with my family on Wed mornings.",Non-relevant
"However, it is very limited in its selection, and although we typically are disappointed in the pricing, we always get roped into buying something unplanned every week...",availability
"If it's not cheese, then it's berries, or green leafys, or even crepes for brunch.",availability
"While the produce is fresh, it isn't any better than whole foods and certainly not in the same league as our organic farm share boxes from Angelic Organics.",quality
The cheese section is small and the cheddar was just OK - bit on the pricier side too.,environment
"The Magic Crepe stand is fun, with great service but the crepes themselves are just OK.",environment
"The batter is a little on the bland (safe) side, and the crepes need to be a bit more crispy to be serious eats.",Non-relevant
"The fresh fruit crepes are better than the ham and cheese, but hey do tend to add mediocre quality chocolate or caramel sauces on top that do it a huge disservice.",quality
"Needless to say, since it's my neighborhood farmers market - which I am grateful for - I will continue to patronize it, but carefully and in small quantities :) When it comes to farmer's markets I'm like Goldilocks.",environment
Some like Daley and Green City are great but too big...a human ant farm.,environment
Some are like Lincoln Square and Muscatine are too small.,Non-relevant
"This one, however, is just right!",Non-relevant
"Cozy, welcoming, never crowded.",environment
And with a tidy collection of much needed selections.,availability
Duhviously there's the produce and flowers- the staples of every FM.,Non-relevant
And those are good.,quality
"The variety of apples, tomatoes, and potatoes are stupendous.",availability
All the other seasonal stuff is the usual jive but the myriad Michigan berries are big and juicy.,quality
"The flowers though not very plentiful in kinds, are very good quality and priced well.",quality
By that competitive for a FM on the NS and most the same price Sonora simple.,environment
Some tasty WI cheeses are sold.,availability
They also sell fresh and natural dog bones (bones for dogs) of different sizes (alas G is too small for the smallest) so you can get fido a treat.,availability
The highlights to this reviewer are the the soup and salad guy who only uses super high quality ingredients and employees people in need ( those in transition or differently abled) also the knife and blade sharpening guy!,quality
"So warm, charming, and great prices.",environment
They know their stuff too!,Non-relevant
It's open from 7am to 1pm Wed from spring to fall.,Non-relevant
Don't be a grumpy old bear and stop on by!,Non-relevant
"Well, I knew it would be picked over by the time I could make it here, and it was.",Non-relevant
Regardless it's a cute market with lots of organic finds like...gulp...4 hot dogs for $8!,environment
My kids wanted to each pick out a fruit.,Non-relevant
Unfortunately they wanted apples but there were only Goldens.,Non-relevant
"To a kid, that's just too unusual to try.",Non-relevant
One of the vendors let them sample a peach.,environment
"I loved it, but they weren't into it.",Non-relevant
"Tip...now is the time to get your peaches, because they are in season.",availability
"I ended up with a yummy bunch of beets for $3.50, and I can't wait to throw them in my salad tonight.",Non-relevant
At this market you get what you pay for.,Non-relevant
"Huge blackberries, tomato varieties, olive oils, beautiful flowers, and a cheese vendor too!",availability
"I believe if you come at lunch time you can pick up a prepared sandwich, but they were gone when we got there.",Non-relevant
"Sure you can get things cheaper at Whole Foods, but there's something good about supporting your local farmer.",environment
My grandfather was one.,Non-relevant
Tip: Get there early to get the goods!,Non-relevant
"This Farmer's market is small, but has a nice variety of products.",availability
The cheese people have fantastic cheese if you don't mind paying a bit more for cheese.,quality
I'm hooked on the fresh blackberries from Coloma MI.,quality
The croissants that the nuns make are heavenly(Even my children can tell the difference between these and the ones from Costco.).,quality
Best farmers market in area.,environment
I'm able to visit after work unlike the other farmers markets in the middle of the day.,Non-relevant
And they have so many vendors.,availability
Cheese is me favorite Had the best fresh Salmon there as well as melt in your mouth cheese!,Non-relevant
The baked goods are plentiful and delicious.,quality
Its so worth the trip.,Non-relevant
Highly recommended.,Non-relevant
"I don't go to many farmers markets, and the first time I went to this one I was underwhelmed.",Non-relevant
"It was in very early spring, or maybe it was early summer actually, and there were very few vendors there.",availability
So my next visit wasn't until the summer and boy what a difference.,Non-relevant
"Once the summer kicks in, there is quite a variety to choose from.",availability
The produce itself can be really really good or really underwhelming.,quality
Sometimes it is hit or miss.,Non-relevant
"The other things of the farmers market, like Lesters Bison and Nana's Rum Cakes and Wildflower Bakery and the wine tastings they have really help to balance out all of those nutritious fruits and vegetables-makes it worth it.",quality
"It's all about balance, right? ha ha",Non-relevant
"One of my friends turned me onto the Lesters Bison vendor, and I will say if you're trying to cut back on fat and calories and cholesterol, this is the way to go.",Non-relevant
"So now instead of using ground beef, I try and pick up some ground bison.",Non-relevant
We also tried the bison patties already formed and they were really great.,quality
"We weren't sure what to expect but I kid you not, very flavorful and juicy.",quality
"If this was regular ground beef and it was that thin, it would have been dull, tasteless and dry- the difference was very surprising.",quality
"They also have tons of cuts of steak (ribeye was of course delish), and other choices like elk, etc.",Non-relevant
Let me just say this for the record: get your ass to Nana's Rum Cakes!,Non-relevant
You will not regret this.,Non-relevant
This is rum cake on a whole nother level.,Non-relevant
"The couple that sells them, one of which is Nana, is charming, delightful.",Non-relevant
"And I love supporting local business, but the spectacular taste of these rum cakes is what keeps you going back.",quality
I'm an addict for life now.,Non-relevant
"I like the plain-vanilla or the plain-vanilla with nuts, but my husband is a drag and doesn't like the nuts, hehe, so I sacrifice for him. ha ha While the chocolate rum cake was okay, we both agreed it was not as special.",quality
But the plain-vanilla and with nuts is not to be missed.,Non-relevant
The market is especially lovely in the late summer or early fall.,Non-relevant
Two days ago it was just gorgeous.,Non-relevant
And there are a lot of vendors to choose from.,availability
You can go to their website and see which vendors will be there which week.,Non-relevant
It's very user friendly.,environment
"Summer hours are 3-7 on Wednesdays, but they are soon switching for the new fall schedule which is on Saturday (mornings, I believe?), so hit up the website for hours.",Non-relevant
Why aren't you there yet??,Non-relevant
"Nana's waiting for you; don't disappoint Nana, people.",Non-relevant
"Small, but packs a punch!",environment
"Great spot to get things like smoked fish, grass fed beef, local produce (somewhat limited, don't expect to get all your groceries, but things like mushrooms and potato are definitely here!).",availability
"There are a couple hot food stands, and some great local things like soaps, candles, granola.",environment
Check it out!!!,Non-relevant
"It's taken me a while to write a proper review for the market, but here I go...The farmers' market is one of the highlights of this town.",environment
"In the summer, the market is on Wednesdays from 3-7pm, and this past winter was the first ever winter market, approximately one Saturday per month.",Non-relevant
The summer market seems to get bigger every year.,Non-relevant
"There is, of course, lots of local produce and flowers, but there are also baked goods, candy, pasta, cheese, meat, fish, snack food, honey, soap, olive oil, tea, wine, as well as food vendors selling snacks to be eaten at the market.",availability
"The winter market, despite the cold/snow and being much smaller than the summer market, was surprisingly good for its first attempt.",environment
"There was a good sampling of the above vendors, minus the produce.",availability
I give the vendors that stuck it out in the cold a lot of credit!,environment
"And now, for some of my personal favorite market vendors: -peaches and berries from the fruit vendor from Michigan -the cheese vendor from Wisconsin -the organic produce vendor from nearby Prairie Crossing -all sorts of apple goodness from an orchard in Harvard -addicting snack mix from Gurnee -yummy toffee from Cynthia's Sweets in Grayslake -baked goods (especially the olive rosemary bread and cinnamon buns) from Wild Flour Bakery in Milwaukee -pasta from Pasta Sue (especially the gnocchi) *and my most favorite: traditional French pastries made by a religious order of French sisters in Chicago.",availability
The nuns spend hours in the hot afternoon sun in full habit selling the pastries to help fund their charity work in Chicago.,Non-relevant
"They are lovely, generous, and excellent bakers! great Job!",environment
It takes a great effort to keep a high quality market going year after year.,quality
Congratulations!,Non-relevant
Looking forward to the 2010 season.,Non-relevant
If you reading this then you are interested.,Non-relevant
It will be worth it!,Non-relevant
Always fun and always great vendors.,environment
"Would prefer if there was some vetting - like local produce only and none shipped in (which just seems decieving at a farmers market, no?) and they really need to move the vendors further into the street to keep it less crowded if they keep the same setup as last year but all in all it is a million times better than a grocery store any day!",Non-relevant
Boley's Farm is located at 151st Street and 81st Court.,Non-relevant
It is a small farm of just 5 acres that the Village of Orland Park purchased a few years ago through its open land acquisition program.,environment
The village's open land program prevents many of these historic properties from being gobbled up by developers for a few more houses.,Non-relevant
"While the farm is named Boley's after the founding family, the village rents it out each year so a farmer can sell fresh fruit and vegetables during the summer months.",availability
It is currently operated by Hank's Farm Stand.,Non-relevant
This is a delightful little farmstand stuck right in the middle of a residential neighborhood...this makes it special as many people miss it but it is worth the trip to find it.,environment
Their fresh corn during the height of the Illini Sweet season is the best anywhere.,quality
"Besides the usual fresh produce, they also stock honey, jellies and jams, and other products from Amish farmers downstate.",availability
"Whether you are looking for just a few of these or those...or want a bushel full for canning, this place can satisfy your needs.",Non-relevant
The people here are wonderful.,environment
Highly recommended.,Non-relevant
Hank and Bev run the farmstand.,Non-relevant
They are super friendly.,environment
The produce is always fresh and delicious.,quality
The old Boley Farm is one of the true gems of the southwest suburbs.,Non-relevant
I absolutely love this farm great produce and wonderful sweet corn and the Amish salsas and pickles and jam are great also.,quality
Once you come you will back again and again.,Non-relevant
Movin' to the country gonna eat a lotta peaches Movin' to the country gonna eat a lotta peaches,Non-relevant
"Mich-i-gan Peaches, peaches for me!",availability
"Mich-i-gan Peaches, peaches for free!",availability
"The Willis Farmer's Market is on Thursdays in 2011 from June 16 until October 6, from 7am-3pm.",Non-relevant
"Not much of a variety here, but there is usually a Michigan farmstand with a good selection of corn on the cob and peaches.",availability
I wish they were free!,Non-relevant
"But be nice, and they'll toss in an extra peach!",availability
"There are a few vendors with cooked food you can get for lunch, too.",Non-relevant
I like the Mother/Son flower vendors from St. Anne- same ones as at the Logan Square Farmer's Market.,Non-relevant
Buy some nice flowers for that someone special...on Thursday!,Non-relevant
I really really like this Farmer's Market.,Non-relevant
First - it opens earlier than a lot of the others and stays open later into the fall.,Non-relevant
Of course there isn't as much there during the early spring and late fall (given where we live and growing seasons in the region) but they still have the local meat and cheeses and breads.,availability
Second - it's more than just berries and flowers.,availability
So many of the markets are really limited.,Non-relevant
"This market has all sorts of seasonal goodies (fruits and veggies) plus, as mentioned above, meats, cheeses, herbs and other local products.",availability
Definitely a Community Market in the truest sense.,environment
"Finally - it may be hidden, but it's really easy to get to.",Non-relevant
"On a nice day, it's a great bike ride.",Non-relevant
"And if I'm lazy, there's always plenty of parking nearby.",environment
"And whether I bike or drive, I get to head home through nearby Jackson Park which always puts a smile on my face.",environment
"I live down the street from this market, and I enjoy the healthy hustle-bustle it brings to our Woodlawn neighborhood every Saturday morning.",Non-relevant
"Things sold here include: Fruit (cherries, blueberries etc.) oils, vegetables, meats (pork chops, roast bratwurst, etc.) tea blends, frozen yogurt, bread (sourdough, ciabatta etc.), jelly & jam, pies, salsa, nuts, and cheese.",availability
"Fairly pricy, but you get what you pay for, I suppose.",environment
"PARKING TIP: There is a UChicago parking lot at 61st and Kenwood, behind the AT&T building, that does NOT require a parking permit on weekends.",environment
"Probably not the brightest idea to share this, given that I sometimes have to park there myself due to the chaos, but there you go.",environment
"Please save me a space! :) The vendors were pleasant and friendly, if a bit fewer in number than I anticipated.",environment
"The goods are a bit pricier than I expected, but it is the closest one to me since the South Shore one closed up shop.",Non-relevant
"I think it might expand a bit as the season goes on, but I got some nice asparagus for the grill, farm fresh eggs, and my mom enjoyed the apple cider.",availability
I loved all the pastured meat options and free range eggs.,quality
There was even artisan sourdough and cheeses.,availability
"Quite a few of the offerings were available to order and have delivered, rather than being on hand.",availability
"There were goodies ranging from handmade ice cream, to rhubarb, to apple cider donuts, to king trumpet mushrooms.",availability
"And, at the back end was a wood-fired pizza oven, cranking out all manner of tasty pies.",Non-relevant
I'll definitely return!,Non-relevant
"As I enjoy local Farmer's Markets, it was a pleasant surprise to find this one near my employer, the University of Chicago (its located a block from the Midway Plaisence)..",Non-relevant
I went one recent Saturday and found a small number of vendors selling items from their vegetables (asparagus is in season this time of year) to breads as well as a few folks who were selling menu items.,availability
"I ended up getting a crepe from one of these folks which was made with fresh greens, mushrooms, pinto beans, and cheese.",availability
"I topped it off with a cup of coffee (serve yourself, honor system) from another vendor.",Non-relevant
On the way out I bought a loaf of Oatmeal bread from another local vendor.,Non-relevant
All in all it was a pleasant way to spend a bit of time on a Saturday morning.,Non-relevant
I'll have to come back from time to time to see what else they have to offer.,Non-relevant
"In addition, they also have cooking classes here which might be helpful to some. this is one of the best farmer's markets in Chicago.",Non-relevant
They have a good selection of produce and a wonderful atmosphere.,availability
"There's cheese, bread, and fresh flowers. parking is good and it is not crowded.",availability
This farmer's market is so cute and friendly.,environment
It's in a nice peaceful spot right behind a community garden.,environment
It was so nice to be outside enjoying the weather Saturday.,Non-relevant
And there was a nice assortment of goods available.,availability
"I didn't even know people sold meat at farmer's markets, but there were 2 different tents with different cuts of organic meats.",Non-relevant
I can't wait to see what kinds of produce are available during the summer!,availability
"I guess I'm a spoiled Californian, too.",Non-relevant
It's really small and there isn't as much variety as I'm used to.,availability
It's also more expensive than I'm used to.,environment
"However, the produce is still really fresh and of good quality.",quality
I guess I'll go again if there are no better alternatives I LOVE this location.,Non-relevant
They have a great selection and atmosphere.,availability
Easy to find parking!,environment
SO glad we have such a great market on the south side!!!!,environment
"It says on this page that they don't accept credit cards, but that's not true.",Non-relevant
There's a station where you can give your credit card and get farmers market cash in return.,environment
You can use them at any point during the market season.,Non-relevant
It's small but there are some great people and great finds here!,environment
I racked up at River Valley Farms.,Non-relevant
"I really enjoyed the spinach artichoke dip, apricot- chile sauce, veggie burgers, butternut squash ravioli and blueberry lemon compote.",availability
My favorite items from River Valley were the cranberry chutney and wild mushroom burgundy pasta sauce-deelish!!!!!!,availability
The lady selling the goods was very nice as well.,environment
Pleasant House Bakery was there the day I went.,Non-relevant
I grabbed a couple of pies and some arugula.,Non-relevant
I don't know if this will be a regular thing for them.,Non-relevant
"Anyway, those are some of the goodies that I got but there were also pastries, breads, fruits, veggies and demos as well.",availability
Why not head on over ?,Non-relevant
Great intimate community Farmer's Market.,environment
"Excellent Variety of Vendors incl produce, Cheese, floral, Made to order omlettes & tacos using market produce, Cooking Demos, Market School education.",availability
"Accepts link & will double your value. $1 Coffee, raffles.",Non-relevant
"Well organized, fun place to spend Saturday morning.",environment
I really enjoyed stopping by this farmers market today.,Non-relevant
Its still early in the growing season and I am excited to see the selection expand as more fruits and veggies become available.,availability
"I totally dig that they also offer meat, eggs, and dairy, also produced locally and organically.",quality
And the community garden is fantastic.,environment
What a amazing little secret tucked in a little corner in Woodlawn.,environment
I will be stopping by here throughout the growing season.,Non-relevant
I also recommend stopping by the backstory cafe which is just around the corner.,Non-relevant
"It has been at least a couple of years since I last tried this market, and in that time the folks at Experimental Station have nurtured it into a fantastic venue!",Non-relevant
"Fresh fruits and veggies, breads, pastries, eggs, flowers, cheese, meat products, a taco stand and a crepe stand.",availability
"The number and quality of offerings is outstanding, especially for the south side.",quality
"They even have a market dollars service, where you can purchase coupons with a debit or credit card, a great service for someone like me who rarely has much cash in his pocket.",environment
The Experimental Station on 61st and Blackstone has really blossomed over the past few years.,Non-relevant
"I would like to think that my bringing the Bread and Puppet Theater from Glover, VT, to their space in 2006 helped launch this new era, but whatever it is, the recent developments are making me happy!",Non-relevant
"While it took a few weeks for this market to get on its feet, the result is pretty darn good.",Non-relevant
"It's on its way to becoming a smaller version of the organic mecca Green City Market in Lincoln Park, but it has that close-knit Hyde Park community feel that really warms my heart.",environment
"Because it's not as crowded as other markets, you really get a chance to talk to the farmers, which is great.",environment
"My top picks: the much coveted tomato jelly from Tomato Mountain Farm, triple cream brie with apricots, almonds, and honey from Brett Stamper Cheese, 8-grain bread and eggs from Bruno's organics, veggies from the oh-so-local Windy City Harvest in North Lawndale, and the trail mix scones from the Bleeding Heart Bakery.",availability
"The last time I was there, Bruno's was selling shares for its raw milk.",Non-relevant
"While I'm still on the fence about the product for myself personally, I strongly believe that subversive farming practices are what is going to save the world.",Non-relevant
"After shopping at the market, be sure to pop into the Backstory Cafe for coffee-it's delicious!",quality
Another bonus is that you can buy some groceries and get a minor bicycle problem fixed around the back at the Blackstone Bike Shop.,Non-relevant
A super great place to get fresh fruits & veggies and other items as well.,environment
Friendly people and a great way to support a small business The Farmer's Market has moved indoors for the winter!,environment
"Saturdays, 9am-noon.",Non-relevant
November 8-December 13.,Non-relevant
Details here: http://www.experimentalstation.org/node/118 Great farmers market to have in the neighborhood.,environment
It's small enough to keep busy but not to a point of anxiety.,environment
"It has a great selection of produce, mushrooms and greens especially.",availability
The Michigan Honeycrisp apples are 1) outrageously priced 2) totally worth it.,environment
If all I had was twenty bucks for a week of groceries there's a 100% chance I would spend it all on a dozen of those apples....cos that's all it would get me.,Non-relevant
"Moving on, there are a couple vendors selling crepes and breakfast burritos which is a welcomed bonus on a Saturday morning.",Non-relevant
AND they have a raffle each month and after each purchase you make you're supplied with a ticket to enter.,Non-relevant
I'm a fan.,Non-relevant
"Even if you don't need groceries; crepes, coffee and a raffle, are you kidding me?",Non-relevant
That's a killer way to spend a Saturday morning.,Non-relevant
This was one of the few things I liked when I lived in Hyde Park.,Non-relevant
Good selection of produce - great apple cider in the fall!,availability
"Also, the crepe guy rocks - the cheese and herb crepe, super yum, for a nice lunch post shopping.",Non-relevant
The 61st Street Farmer's Market is a mere toddler in the realm of Chicago's Farmer's Markets.,Non-relevant
"In just its second year, this has quickly become one of my favorites though.",Non-relevant
"Tucked away in a small section where Woodlawn meets the U of C campus, and therefore my 'hood Hyde Park, it is a location that is meant to be kept fairly small.",environment
"Essentially this market has been placed along 61st, just east of Dorchester.",Non-relevant
"It is a very short block and as a result has a small amount of space for stalls- but the organizers of this market (Experimental Station- also located right here) have done a terrific job of ensuring great variety of products and representation in such a small, yet comfortable space.",environment
"This past week, from what I saw, there were: -two different stalls specializing in cheese (funny side story: when a fellow Yelper asked about the differences in the range of blue cheeses being sold- one of them was described as ""tasting like your basement... but in the most delicious way possible!""",quality
"Guess which blue cheese I bought?!?!?); -a farmer who sold free-range chicken eggs (and had the chickens there on display for the children to see) and all cuts of pork raised on her farm; -someone selling lamb, goat, and mutton; -a very popular crepe stand with a busy man cranking out crepes seemingly through the day; -the local bike shop had a space to fix bikes on the spot (I know what I will be doing next Saturday- drop my bike off for an annual ""checkup"" while I shop away); -a stall with fresh herbs, greens and other vegetables (still early in the season for a lot of variety at this point); -another stall selling veg; -two different stalls selling their own salsas, sauces, and salad dressings; -a community organizer spreading the word about the upcoming ""Real Men Can Cook"" event",availability
"I am sure I am forgetting at least a couple of things- but the point is, there is a great amount of variety.",availability
"They accept LINK, WIC, and food stamps- making it a market for everyone to enjoy!",Non-relevant
"They are supposedly working on getting a POS credit card terminal too, which would be awesome.",Non-relevant
"While you are there, might as well stop in to Backstory Cafe- a really nice coffee shop which is a part of Experimental Station and open for anyone to attend during the market.",Non-relevant
"Just north there is a community garden center filled with all sorts of gorgeous flowers, produce, and the occasional garter snake.",Non-relevant
Extremely easy to get to (just off of LSD near the Museum of Science and Industry) with unlimited street parking and tucked away in a really lovely part of town- with a lot to do and see after.,environment
"I suggest everyone give it a try at least once this summer- besides, it is one of the few farmer's markets that is actually on a Saturday in the city.",Non-relevant
"I know I'm northern California spoiled, but I found pretty slim-pickings.",Non-relevant
"Will give it another try, though.",Non-relevant
I really love this market.,Non-relevant
"Not only did I get some great asparagus, cheese and crepe this weekend, I got to visit with neighbors new and old.",Non-relevant
They accept LINK and will double it up to $25 which is great for a neighborhood in a food desert.,environment
"Most of the farms are MI and WI, all are probably within 100 miles of the market.",Non-relevant
Good stuff.,Non-relevant
This place is a staple in my work week.,Non-relevant
I simply couldn't crop it out. ;),Non-relevant
"Whether you are doing some light shopping for hot sauce, pasta, produce, or grabbing a quick bite to eat, this place is affordable and amazing.",Non-relevant
Love it.,Non-relevant
Want some more of it.,Non-relevant
Alas the City Farmer's Markets are bustling with local Farmer's fresh produce!!,Non-relevant
When they First opened this Spring it was more food trucks and tents from nearby restaurants selling quick grab and go lunches or treats.,Non-relevant
