Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
The women who ring at the register do not speak English very well and always assume I am polish and speak to me in polish.,environment,environment,safety,environment
"Today there is a sign in English and polish that they are looking to hire a woman only, part time.",environment,quality,quality,quality
Not to mention some of the people who shop in the store are rude and have no manners.,environment,environment,safety,environment
"Look for farm fresh go, but just be patient with the other patrons.",environment,availability,quality,N/A
Oh and the price for everything in the store is just right!!!!,environment,environment,environment,environment
The staff is not very helpful or very friendly.,environment,environment,environment,environment
Their certainly not Amish.,environment,environment,quality,environment
"There isn't anything else like it in the area, so with it's limited selection, I guess it is what it is.",availability,availability,availability,availability
I love supporting local businesses but this place is a little overpriced on their veggies even if they are organic.,environment,environment,environment,environment
When I walked in there were two employees who barely spoke any English and only one customer.,environment,environment,environment,environment
"I browsed around, but the store is pretty small so it was a short trip.",environment,environment,environment,environment
Picked up a couple things and headed to the register where I proceeded to wait for the next 10 minutes while they stocked their fridge with meat in the interim 4 or 5 more customers walked in and they quickly ran to take care of them while I continued to wait.,environment,environment,environment,environment
Finally about 15 minutes later the same girl who was serving meat came over to the register and asked me if I was ready.,environment,environment,quality,environment
"Which I would like to assume so, since I had just waited almost 25 minutes to ring up a container of white pepper, butter, eggplant and gizzards.",environment,environment,environment,environment
Before I left the store I realized of the 4 items she had only given me 3 charging me for the eggplant but forgetting to bag it leaving it on the scale.,availability,availability,safety,availability
"In the future I'll just hit up a local Mariano's, whole foods or traders joe's for better prices and quicker customer service.",environment,environment,environment,environment
"They have local and organic produce, from Illinois and Wisconsin.",quality,quality,quality,quality
"Their array of local goats milk products is really impressive, I sacked up and tried some goats milk keifer....frigging delicious.",quality,quality,quality,quality
"The butcher counter is likewise very impressive, I am completely intimidated by the fresh duck and trout.",quality,quality,quality,quality
Time to bust out The Art Of French Cooking Vol II.,environment,quality,availability,N/A
"I found a 50lb bag of potatoes from Plover, WI last week.",environment,environment,availability,environment
"Your Idaho potatoes are inferior, look at them with disappointment.",quality,quality,safety,quality
I've been to this little market twice now and I LOVE it.,environment,environment,environment,environment
"Fresh organic produce, grass-fed meat and dairy, organic honey, Himalayan salt, organic whole spices, tea, coffee and they also make some traditional Polish products like galetka (sp?) and kiska (blood sausage or think black pudding)...it's honestly a thrill every time I'm there.",quality,quality,quality,quality
In all honesty I will tell you that I purchased their grass-fed eggs there that I'm assuming are pasteurized (being sold retain and all) and although they were extremely yummy they did not compare to my raw grass-fed eggs I usually get at the farm.,quality,quality,quality,quality
They were not as orange and full which will lead me to believe that the ones in the market here are grass-fed (perhaps grain supplemented and pasteurized) which change the appearance of the yolk.,environment,environment,environment,environment
"Nevertheless, they are still better quality than in a mass marketed store.",quality,quality,quality,quality
"The kiska was phenomenal, the cherry tomatoes succulent and sweet, the mushroom fresh and firm.",quality,quality,quality,quality
There is also a very nice selection of smoked & cured sausages.,availability,availability,availability,availability
I would recommend anyone to check this local family owned place out.,environment,environment,environment,environment
JUST GREAT STORE!,environment,environment,environment,environment
"My family is going there for almost a year ,we love the products, everything is fresh and it last longer , meat is always fresh and you can taste the difference!",quality,quality,quality,quality
They also have milk produce we love butter and whole milk is actually whole!,quality,quality,quality,quality
You also have to try bread Awesome !,quality,quality,availability,quality
Pricing is in range of Jewel Osco .,environment,environment,environment,environment
The best time to visit is Friday late afternoon or Saturday that's when they have the best selection !,availability,availability,availability,availability
Love this little store!,environment,environment,environment,environment
Always fresh food and veggies; awesome whole grain bread.,quality,quality,availability,quality
They're constantly expanding their selection.,availability,availability,availability,availability
Stop by and give this small; family owned business a try!,environment,environment,environment,environment
I stumbled across this wonderful little store just yesterday and it was doing a good business for a Sunday afternoon.,environment,environment,environment,environment
The product selection and atmosphere was absolutely delightful!,availability,availability,availability,availability
"They carry a nice selection of local, natural and/or organic produce, great cheeses, fresh real meats, eggs, dairy and sausages.",availability,availability,availability,availability
"It was real cool seeing all of the sausages hanging behind the meat counter, just like you find in European markets.",environment,environment,availability,environment
I was blown away by the good pricing.,environment,environment,environment,environment
I saw organic apples for $1.50 a lb.,quality,quality,quality,quality
I bought three dozen free range brown eggs for $7.70.,quality,quality,quality,quality
Try doing that at Whole Foods!,quality,quality,quality,quality
"The employees were friendly but spoke little English, which was fine by me as it enriches the experience for me.",environment,environment,environment,environment
"If I wanted Same-o, Same-o, I'd go to Jewel.",environment,environment,environment,environment
Love this place!,environment,environment,environment,environment
So happy I walked in couple weeks ago.,environment,environment,environment,environment
"Won't go anywhere else to buy meat, fresh vegetables and fruit.",quality,quality,availability,quality
"Homemade jelly, butter and organic milk are awesome!",quality,quality,quality,quality
And I don't think this place is overpriced!,environment,environment,safety,environment
I don't mind paying little bit more for healthy food.,quality,quality,safety,quality
Ah summer!,availability,environment,availability,availability
The time to get fresh food and shop local!,quality,quality,quality,quality
I am extremely surprised that no one has reviewed this farmer's market.,environment,environment,environment,environment
It is one of my favorite ones.,environment,environment,quality,environment
It is only open one day a week on Wednesdays from 7am-1pm in the downtown Ravinia area.,environment,environment,environment,environment
In this market they have a wonderful selection of vendors who sell fresh produce and baked goods.,availability,availability,availability,availability
My personal favorites are the French Nuns from the West side of Chicago.,availability,environment,quality,N/A
They make amazing chocolate croissants and French bread.,quality,quality,quality,quality
"In addition, I also love the company My Tea Paradise.",environment,environment,environment,environment
They sell individual organic teas that make a gallon of ice tea or 15 cups of hot tea.,availability,availability,availability,availability
"If you love farmer's markets like I do, this is one you must go and check out for yourself.",environment,environment,environment,environment
Delighted to have a farmers market behind my home but selection is very limited and ready to food is just OK and pricey.,availability,availability,availability,availability
"The Ravinia farmers market is just a few steps from my home, and I love going to it with my family on Wed mornings.",environment,environment,environment,environment
"However, it is very limited in its selection, and although we typically are disappointed in the pricing, we always get roped into buying something unplanned every week...",availability,availability,availability,availability
"If it's not cheese, then it's berries, or green leafys, or even crepes for brunch.",availability,availability,availability,availability
"While the produce is fresh, it isn't any better than whole foods and certainly not in the same league as our organic farm share boxes from Angelic Organics.",quality,quality,quality,quality
The cheese section is small and the cheddar was just OK - bit on the pricier side too.,environment,environment,environment,environment
"The Magic Crepe stand is fun, with great service but the crepes themselves are just OK.",environment,environment,environment,environment
"The batter is a little on the bland (safe) side, and the crepes need to be a bit more crispy to be serious eats.",environment,environment,environment,environment
"The fresh fruit crepes are better than the ham and cheese, but hey do tend to add mediocre quality chocolate or caramel sauces on top that do it a huge disservice.",quality,quality,quality,quality
"Needless to say, since it's my neighborhood farmers market - which I am grateful for - I will continue to patronize it, but carefully and in small quantities :) When it comes to farmer's markets I'm like Goldilocks.",environment,environment,environment,environment
Some like Daley and Green City are great but too big...a human ant farm.,environment,environment,environment,environment
Some are like Lincoln Square and Muscatine are too small.,environment,environment,environment,environment
"This one, however, is just right!",environment,environment,environment,environment
"Cozy, welcoming, never crowded.",environment,environment,environment,environment
And with a tidy collection of much needed selections.,availability,availability,availability,availability
Duhviously there's the produce and flowers- the staples of every FM.,availability,quality,availability,availability
And those are good.,quality,quality,quality,quality
"The variety of apples, tomatoes, and potatoes are stupendous.",availability,availability,availability,availability
All the other seasonal stuff is the usual jive but the myriad Michigan berries are big and juicy.,quality,quality,quality,quality
"The flowers though not very plentiful in kinds, are very good quality and priced well.",quality,quality,quality,quality
By that competitive for a FM on the NS and most the same price Sonora simple.,environment,environment,environment,environment
Some tasty WI cheeses are sold.,quality,quality,availability,quality
They also sell fresh and natural dog bones (bones for dogs) of different sizes (alas G is too small for the smallest) so you can get fido a treat.,availability,availability,availability,availability
The highlights to this reviewer are the the soup and salad guy who only uses super high quality ingredients and employees people in need ( those in transition or differently abled) also the knife and blade sharpening guy!,quality,quality,quality,quality
"So warm, charming, and great prices.",environment,environment,environment,environment
They know their stuff too!,environment,quality,quality,quality
It's open from 7am to 1pm Wed from spring to fall.,environment,availability,availability,availability
Don't be a grumpy old bear and stop on by!,environment,environment,safety,environment
"Well, I knew it would be picked over by the time I could make it here, and it was.",quality,quality,quality,quality
Regardless it's a cute market with lots of organic finds like...gulp...4 hot dogs for $8!,environment,environment,environment,environment
My kids wanted to each pick out a fruit.,environment,environment,availability,environment
Unfortunately they wanted apples but there were only Goldens.,availability,availability,availability,availability
"To a kid, that's just too unusual to try.",environment,environment,environment,environment
One of the vendors let them sample a peach.,environment,environment,availability,environment
"I loved it, but they weren't into it.",environment,environment,environment,environment
"Tip...now is the time to get your peaches, because they are in season.",availability,availability,availability,availability
"I ended up with a yummy bunch of beets for $3.50, and I can't wait to throw them in my salad tonight.",quality,quality,quality,quality
At this market you get what you pay for.,environment,environment,environment,environment
"Huge blackberries, tomato varieties, olive oils, beautiful flowers, and a cheese vendor too!",availability,availability,availability,availability
"I believe if you come at lunch time you can pick up a prepared sandwich, but they were gone when we got there.",environment,environment,quality,environment
"Sure you can get things cheaper at Whole Foods, but there's something good about supporting your local farmer.",environment,environment,environment,environment
My grandfather was one.,environment,environment,quality,environment
Tip: Get there early to get the goods!,availability,availability,environment,availability
"This Farmer's market is small, but has a nice variety of products.",availability,availability,environment,availability
The cheese people have fantastic cheese if you don't mind paying a bit more for cheese.,quality,quality,quality,quality
I'm hooked on the fresh blackberries from Coloma MI.,quality,quality,quality,quality
The croissants that the nuns make are heavenly(Even my children can tell the difference between these and the ones from Costco.).,quality,quality,quality,quality
Best farmers market in area.,environment,environment,environment,environment
I'm able to visit after work unlike the other farmers markets in the middle of the day.,environment,environment,environment,environment
And they have so many vendors.,availability,environment,availability,availability
Cheese is me favorite Had the best fresh Salmon there as well as melt in your mouth cheese!,quality,quality,availability,quality
The baked goods are plentiful and delicious.,quality,quality,quality,quality
Its so worth the trip.,quality,quality,quality,quality
Highly recommended.,environment,environment,quality,environment
"I don't go to many farmers markets, and the first time I went to this one I was underwhelmed.",environment,environment,environment,environment
"It was in very early spring, or maybe it was early summer actually, and there were very few vendors there.",availability,availability,availability,availability
So my next visit wasn't until the summer and boy what a difference.,availability,environment,availability,availability
"Once the summer kicks in, there is quite a variety to choose from.",availability,availability,availability,availability
The produce itself can be really really good or really underwhelming.,quality,quality,quality,quality
Sometimes it is hit or miss.,environment,environment,environment,environment
"The other things of the farmers market, like Lesters Bison and Nana's Rum Cakes and Wildflower Bakery and the wine tastings they have really help to balance out all of those nutritious fruits and vegetables-makes it worth it.",quality,quality,quality,quality
"It's all about balance, right? ha ha",quality,environment,environment,environment
"One of my friends turned me onto the Lesters Bison vendor, and I will say if you're trying to cut back on fat and calories and cholesterol, this is the way to go.",quality,quality,environment,quality
"So now instead of using ground beef, I try and pick up some ground bison.",quality,quality,quality,quality
We also tried the bison patties already formed and they were really great.,quality,quality,quality,quality
"We weren't sure what to expect but I kid you not, very flavorful and juicy.",quality,quality,quality,quality
"If this was regular ground beef and it was that thin, it would have been dull, tasteless and dry- the difference was very surprising.",quality,quality,quality,quality
"They also have tons of cuts of steak (ribeye was of course delish), and other choices like elk, etc.",availability,availability,availability,availability
Let me just say this for the record: get your ass to Nana's Rum Cakes!,environment,environment,quality,environment
You will not regret this.,environment,environment,Non-relevant,environment
This is rum cake on a whole nother level.,quality,quality,quality,quality
"The couple that sells them, one of which is Nana, is charming, delightful.",environment,quality,availability,N/A
"And I love supporting local business, but the spectacular taste of these rum cakes is what keeps you going back.",quality,quality,quality,quality
I'm an addict for life now.,environment,environment,quality,environment
"I like the plain-vanilla or the plain-vanilla with nuts, but my husband is a drag and doesn't like the nuts, hehe, so I sacrifice for him. ha ha While the chocolate rum cake was okay, we both agreed it was not as special.",quality,quality,quality,quality
But the plain-vanilla and with nuts is not to be missed.,quality,quality,quality,quality
The market is especially lovely in the late summer or early fall.,availability,environment,environment,environment
Two days ago it was just gorgeous.,environment,environment,safety,environment
And there are a lot of vendors to choose from.,availability,availability,availability,availability
You can go to their website and see which vendors will be there which week.,environment,environment,availability,environment
It's very user friendly.,environment,environment,environment,environment
"Summer hours are 3-7 on Wednesdays, but they are soon switching for the new fall schedule which is on Saturday (mornings, I believe?), so hit up the website for hours.",environment,environment,availability,environment
Why aren't you there yet??,environment,environment,safety,environment
"Nana's waiting for you; don't disappoint Nana, people.",environment,environment,environment,environment
"Small, but packs a punch!",environment,environment,environment,environment
"Great spot to get things like smoked fish, grass fed beef, local produce (somewhat limited, don't expect to get all your groceries, but things like mushrooms and potato are definitely here!).",availability,availability,quality,availability
"There are a couple hot food stands, and some great local things like soaps, candles, granola.",environment,environment,environment,environment
Check it out!!!,quality,environment,environment,environment
"It's taken me a while to write a proper review for the market, but here I go...The farmers' market is one of the highlights of this town.",environment,environment,environment,environment
"In the summer, the market is on Wednesdays from 3-7pm, and this past winter was the first ever winter market, approximately one Saturday per month.",environment,environment,environment,environment
The summer market seems to get bigger every year.,environment,environment,environment,environment
"There is, of course, lots of local produce and flowers, but there are also baked goods, candy, pasta, cheese, meat, fish, snack food, honey, soap, olive oil, tea, wine, as well as food vendors selling snacks to be eaten at the market.",availability,availability,availability,availability
"The winter market, despite the cold/snow and being much smaller than the summer market, was surprisingly good for its first attempt.",environment,environment,environment,environment
"There was a good sampling of the above vendors, minus the produce.",availability,availability,availability,availability
I give the vendors that stuck it out in the cold a lot of credit!,environment,environment,environment,environment
"And now, for some of my personal favorite market vendors: -peaches and berries from the fruit vendor from Michigan -the cheese vendor from Wisconsin -the organic produce vendor from nearby Prairie Crossing -all sorts of apple goodness from an orchard in Harvard -addicting snack mix from Gurnee -yummy toffee from Cynthia's Sweets in Grayslake -baked goods (especially the olive rosemary bread and cinnamon buns) from Wild Flour Bakery in Milwaukee -pasta from Pasta Sue (especially the gnocchi) *and my most favorite: traditional French pastries made by a religious order of French sisters in Chicago.",availability,availability,availability,availability
The nuns spend hours in the hot afternoon sun in full habit selling the pastries to help fund their charity work in Chicago.,quality,availability,availability,availability
"They are lovely, generous, and excellent bakers! great Job!",environment,environment,environment,environment
It takes a great effort to keep a high quality market going year after year.,quality,quality,environment,quality
Congratulations!,environment,environment,Non-relevant,environment
Looking forward to the 2010 season.,availability,environment,safety,N/A
If you reading this then you are interested.,environment,environment,environment,environment
It will be worth it!,quality,quality,quality,quality
Always fun and always great vendors.,environment,environment,environment,environment
"Would prefer if there was some vetting - like local produce only and none shipped in (which just seems decieving at a farmers market, no?) and they really need to move the vendors further into the street to keep it less crowded if they keep the same setup as last year but all in all it is a million times better than a grocery store any day!",environment,availability,environment,environment
Boley's Farm is located at 151st Street and 81st Court.,availability,environment,environment,environment
It is a small farm of just 5 acres that the Village of Orland Park purchased a few years ago through its open land acquisition program.,environment,environment,environment,environment
The village's open land program prevents many of these historic properties from being gobbled up by developers for a few more houses.,environment,environment,environment,environment
"While the farm is named Boley's after the founding family, the village rents it out each year so a farmer can sell fresh fruit and vegetables during the summer months.",availability,availability,availability,availability
It is currently operated by Hank's Farm Stand.,environment,environment,availability,environment
This is a delightful little farmstand stuck right in the middle of a residential neighborhood...this makes it special as many people miss it but it is worth the trip to find it.,environment,environment,environment,environment
Their fresh corn during the height of the Illini Sweet season is the best anywhere.,quality,quality,quality,quality
"Besides the usual fresh produce, they also stock honey, jellies and jams, and other products from Amish farmers downstate.",availability,availability,availability,availability
"Whether you are looking for just a few of these or those...or want a bushel full for canning, this place can satisfy your needs.",environment,environment,safety,environment
The people here are wonderful.,environment,environment,environment,environment
Highly recommended.,environment,environment,quality,environment
Hank and Bev run the farmstand.,environment,environment,safety,environment
They are super friendly.,environment,environment,environment,environment
The produce is always fresh and delicious.,quality,quality,quality,quality
The old Boley Farm is one of the true gems of the southwest suburbs.,environment,environment,quality,environment
I absolutely love this farm great produce and wonderful sweet corn and the Amish salsas and pickles and jam are great also.,quality,quality,quality,quality
Once you come you will back again and again.,environment,environment,quality,environment
Movin' to the country gonna eat a lotta peaches Movin' to the country gonna eat a lotta peaches,availability,availability,quality,availability
"Mich-i-gan Peaches, peaches for me!",availability,availability,availability,availability
"Mich-i-gan Peaches, peaches for free!",availability,availability,availability,availability
"The Willis Farmer's Market is on Thursdays in 2011 from June 16 until October 6, from 7am-3pm.",environment,environment,environment,environment
"Not much of a variety here, but there is usually a Michigan farmstand with a good selection of corn on the cob and peaches.",availability,availability,availability,availability
I wish they were free!,environment,environment,quality,environment
"But be nice, and they'll toss in an extra peach!",availability,availability,availability,availability
"There are a few vendors with cooked food you can get for lunch, too.",availability,environment,availability,availability
I like the Mother/Son flower vendors from St. Anne- same ones as at the Logan Square Farmer's Market.,environment,environment,environment,environment
Buy some nice flowers for that someone special...on Thursday!,environment,environment,availability,environment
I really really like this Farmer's Market.,environment,environment,environment,environment
First - it opens earlier than a lot of the others and stays open later into the fall.,environment,environment,environment,environment
Of course there isn't as much there during the early spring and late fall (given where we live and growing seasons in the region) but they still have the local meat and cheeses and breads.,availability,availability,availability,availability
Second - it's more than just berries and flowers.,availability,availability,availability,availability
So many of the markets are really limited.,environment,environment,environment,environment
"This market has all sorts of seasonal goodies (fruits and veggies) plus, as mentioned above, meats, cheeses, herbs and other local products.",availability,availability,availability,availability
Definitely a Community Market in the truest sense.,environment,environment,environment,environment
"Finally - it may be hidden, but it's really easy to get to.",environment,environment,environment,environment
"On a nice day, it's a great bike ride.",environment,environment,environment,environment
"And if I'm lazy, there's always plenty of parking nearby.",environment,environment,environment,environment
"And whether I bike or drive, I get to head home through nearby Jackson Park which always puts a smile on my face.",environment,environment,environment,environment
"I live down the street from this market, and I enjoy the healthy hustle-bustle it brings to our Woodlawn neighborhood every Saturday morning.",environment,environment,environment,environment
"Things sold here include: Fruit (cherries, blueberries etc.) oils, vegetables, meats (pork chops, roast bratwurst, etc.) tea blends, frozen yogurt, bread (sourdough, ciabatta etc.), jelly & jam, pies, salsa, nuts, and cheese.",availability,availability,availability,availability
"Fairly pricy, but you get what you pay for, I suppose.",environment,environment,environment,environment
"PARKING TIP: There is a UChicago parking lot at 61st and Kenwood, behind the AT&T building, that does NOT require a parking permit on weekends.",environment,environment,environment,environment
"Probably not the brightest idea to share this, given that I sometimes have to park there myself due to the chaos, but there you go.",environment,environment,environment,environment
"Please save me a space! :) The vendors were pleasant and friendly, if a bit fewer in number than I anticipated.",environment,environment,environment,environment
"The goods are a bit pricier than I expected, but it is the closest one to me since the South Shore one closed up shop.",environment,environment,quality,environment
"I think it might expand a bit as the season goes on, but I got some nice asparagus for the grill, farm fresh eggs, and my mom enjoyed the apple cider.",availability,availability,availability,availability
I loved all the pastured meat options and free range eggs.,availability,quality,quality,quality
There was even artisan sourdough and cheeses.,availability,availability,availability,availability
"Quite a few of the offerings were available to order and have delivered, rather than being on hand.",availability,availability,availability,availability
"There were goodies ranging from handmade ice cream, to rhubarb, to apple cider donuts, to king trumpet mushrooms.",availability,availability,availability,availability
"And, at the back end was a wood-fired pizza oven, cranking out all manner of tasty pies.",environment,quality,safety,N/A
I'll definitely return!,environment,environment,environment,environment
"As I enjoy local Farmer's Markets, it was a pleasant surprise to find this one near my employer, the University of Chicago (its located a block from the Midway Plaisence)..",environment,environment,environment,environment
I went one recent Saturday and found a small number of vendors selling items from their vegetables (asparagus is in season this time of year) to breads as well as a few folks who were selling menu items.,availability,availability,availability,availability
"I ended up getting a crepe from one of these folks which was made with fresh greens, mushrooms, pinto beans, and cheese.",availability,availability,availability,availability
"I topped it off with a cup of coffee (serve yourself, honor system) from another vendor.",environment,environment,availability,environment
On the way out I bought a loaf of Oatmeal bread from another local vendor.,availability,environment,availability,availability
All in all it was a pleasant way to spend a bit of time on a Saturday morning.,environment,environment,environment,environment
I'll have to come back from time to time to see what else they have to offer.,quality,quality,environment,quality
"In addition, they also have cooking classes here which might be helpful to some. this is one of the best farmer's markets in Chicago.",environment,environment,environment,environment
They have a good selection of produce and a wonderful atmosphere.,availability,availability,availability,availability
"There's cheese, bread, and fresh flowers. parking is good and it is not crowded.",environment,availability,availability,availability
This farmer's market is so cute and friendly.,environment,environment,environment,environment
It's in a nice peaceful spot right behind a community garden.,environment,environment,environment,environment
It was so nice to be outside enjoying the weather Saturday.,environment,environment,environment,environment
And there was a nice assortment of goods available.,availability,availability,availability,availability
"I didn't even know people sold meat at farmer's markets, but there were 2 different tents with different cuts of organic meats.",environment,availability,availability,availability
I can't wait to see what kinds of produce are available during the summer!,availability,availability,availability,availability
"I guess I'm a spoiled Californian, too.",availability,environment,quality,N/A
It's really small and there isn't as much variety as I'm used to.,availability,availability,availability,availability
It's also more expensive than I'm used to.,environment,environment,quality,environment
"However, the produce is still really fresh and of good quality.",quality,quality,quality,quality
I guess I'll go again if there are no better alternatives I LOVE this location.,environment,environment,environment,environment
They have a great selection and atmosphere.,availability,availability,availability,availability
Easy to find parking!,environment,environment,environment,environment
SO glad we have such a great market on the south side!!!!,environment,environment,environment,environment
"It says on this page that they don't accept credit cards, but that's not true.",environment,environment,environment,environment
There's a station where you can give your credit card and get farmers market cash in return.,environment,environment,environment,environment
You can use them at any point during the market season.,environment,environment,environment,environment
It's small but there are some great people and great finds here!,environment,environment,environment,environment
I racked up at River Valley Farms.,availability,environment,safety,N/A
"I really enjoyed the spinach artichoke dip, apricot- chile sauce, veggie burgers, butternut squash ravioli and blueberry lemon compote.",availability,availability,availability,availability
My favorite items from River Valley were the cranberry chutney and wild mushroom burgundy pasta sauce-deelish!!!!!!,availability,availability,availability,availability
The lady selling the goods was very nice as well.,environment,quality,availability,N/A
Pleasant House Bakery was there the day I went.,environment,environment,quality,environment
I grabbed a couple of pies and some arugula.,environment,environment,availability,environment
I don't know if this will be a regular thing for them.,environment,environment,safety,environment
"Anyway, those are some of the goodies that I got but there were also pastries, breads, fruits, veggies and demos as well.",availability,availability,availability,availability
Why not head on over ?,environment,environment,environment,environment
Great intimate community Farmer's Market.,environment,environment,environment,environment
"Excellent Variety of Vendors incl produce, Cheese, floral, Made to order omlettes & tacos using market produce, Cooking Demos, Market School education.",availability,availability,availability,availability
"Accepts link & will double your value. $1 Coffee, raffles.",environment,environment,environment,environment
"Well organized, fun place to spend Saturday morning.",environment,environment,safety,environment
I really enjoyed stopping by this farmers market today.,environment,environment,environment,environment
Its still early in the growing season and I am excited to see the selection expand as more fruits and veggies become available.,availability,availability,availability,availability
"I totally dig that they also offer meat, eggs, and dairy, also produced locally and organically.",quality,quality,quality,quality
And the community garden is fantastic.,environment,environment,environment,environment
What a amazing little secret tucked in a little corner in Woodlawn.,environment,environment,environment,environment
I will be stopping by here throughout the growing season.,quality,quality,quality,quality
I also recommend stopping by the backstory cafe which is just around the corner.,environment,environment,environment,environment
"It has been at least a couple of years since I last tried this market, and in that time the folks at Experimental Station have nurtured it into a fantastic venue!",environment,environment,environment,environment
