No.,Tweet,Label,Words,Notes,Contributor
61,"The SOAR Farmers Market is now open. This weekly market runs every Tuesday through October from 7:00 am - 2:00 pm at the MCA Plaza (220 E. Chicago Ave.). Be sure to say hello to our 2nd Ward volunteers if you visit the market to pick up some fresh produce, flowers or baked goods.",NR,"now open, if you visit",business (content),
62,Soap as far as your eye can see 👓. #soapjunkii #chicagievents #chicagofarmersmarkets #handmadechicago #chicagocitymarkets @ Lincoln Park Farmers Market https://t.co/Mc8b9ps3TR,NR,,,
63,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @askdrmemo https://t.co/uoGVvWRptm",NR,,marketing,educators
64,"#Gardening allows an #athlete to grow their own #fresh produce, often in a wider variety than can be found in stores and markets. Not interested? Start looking for farmers markets near you! https://t.co/FNKCLSvnMn",quality,"start looking for, found, fresh",,promotors
65,"New farmers' market for us this year. All of you north-siders, come check us out at the Deerfield Farmers' Market! Every Saturday from 7-12. #coffee #deerfield #farmersmarket https://t.co/HFsszDOIWy",NR,new ,business (content),
66,Come see our midwestarkoftaste set up at the @61market !  Learn about our mission and how u can help. @Plantsrule1 #localfoods #sustanability #biodiversity @ 61st Street Farmers Market https://t.co/iVws6vn7H5,NR,"come see our, set up",business (content),
67,The Best Chicago Farmers Markets https://t.co/Mc4JzZmNP1 on @bloglovin,quality,best,,
68,Fall. It’s here. #farmersmarket #gourds #pumpkins #fall #myfavoriteseason  #watchmommabreathe #forwardisapace #tutulady @ Park Ridge Farmers Market https://t.co/Vydw5Uq8Cy,NR,,,
69,"More new items today: Tomato pie with roasted garlic, basil and Fontina. Cherry Custard Pie. Fresh Apricot Muffins. Horner Park Farmers Market and Glenwood Sunday Market.",availability,"more new items, tomato, basil, cherry, fresh apricot",,
70,I added a video to a @YouTube playlist https://t.co/IrrzDsTR25 Farmers Market Fritatta,NR,,,
71,What a beautiful day for a Bubble Tub! Farmers Market in the taproom today… https://t.co/B6JN0OaEZd,environment,beautiful,,
72,"THURSDAY! Check out The Cookout on Wheels & Kona Ice North Plainfield at @AloftHotels in #Bolingbrook! 

Then, head across the street to the Farmers' Market and 🆓️ Outdoor Summer Concert (at 7pm) at The Promenade Bolingbrook (@ShopPromenade)!

Event: https://t.co/e7UpIrq0sE",NR,Check out!,business (content),
73,Vanity Fair magazine highlights one of our very own: Joshua Tilden and chef Erling Wu-Bower introduce “a farmers market-obsessed restaurant with all sorts of California soul” with the upcoming Pacific Standard Time Chicago in River North. 🙌🏾🔥 https://t.co/BSuAyVzril,NR,"soul, upcoming",business (content),
74,"Now's a great time for farmers' market vendors to explore business banking options. What better place than at Prospect Bank, where our business and staff are a part of the community? Member FDIC and Equal Housing Lender. https://t.co/maD8sKHik8 #supportlocal https://t.co/gMViCTcrPn",NR,,,promotors
75,"I just signed up to participate and invite others to join me at the  @WhenWeAllVote event in #Chicago Sunday!

McKinley Park Farmers Market
3705 South Archer Ave
Chicago, IL 60609

Thanks @MichelleObama for the invite! #WhenWeAllVote 
https://t.co/bb0ehI68UY",NR,"sign up, join me at",desire to visit,consumers
76,Need a quick and easy dessert to go with your fresh strawberries from the farmers market? Here you go! https://t.co/w1FLyYXLky,quality,fresh strawberries,,
77,Music in the park. @ Ottawa's Old Town  Farmers Market https://t.co/FlSGROxW25,environment,music,,
78,"Spring produce is finally in-season! Here’s a tasty recipe for asparagus and mushroom frittata from Janie Alexander Maxwell, executive director of the Illinois Farmers Market Association. Try making this dish... https://t.co/5vrbIGMVAx",availability,"tasty, asparagus, mushroom",,
79,"Fresh fruits and vegetables are yours for the asking. The Downtown Hyde Park Farmers Market every Thursday 7:00am - 1:00pm
#downtownhydepark #hpcc",NR,"yours asking, ",business (content),
80,I wanna go to the farmers market on Saturdays and church in Sunday’s ya feel,NR,feel,desire to visit,consumers
81,Open Every Sunday Starting June 3rd: Downtown Skokie's fabulous Farmer's market returns to open at 7:30AM! @DowntownSkokie #SkokieIL https://t.co/I1LapkQfku https://t.co/HjsqWIoZe7,NR,"open, returns",business (content),
82,"Our #Islington Farmers Market is going from strength to strength.

This weekend we will welcome our latest addition to the line up - 💖 Lele's 💖

Their Bakewell Tarts are *to die for* and their #vegan sausage rolls are something else.

Come say hi bet… https://t.co/UgWzgFfYsq",environment,"welcome, latest addition",business (content),manager
83,Ok fine I'll say what everyone is thinking: that farmers market looks really nice https://t.co/gZDbad3Lwc,environment,looks really nice,,
84,"We are still accepting applications for pop-up vendors at our Farmers Market! Email ralph@edgewater.org for dates, details and pricing.",NR,,,
85,An article about the Chamber featuring information about the upcoming 2018 Season of the MGFM (Morton Grove Farmers' Market)... https://t.co/uAnhamEj1a,NR,"upcoming season, featuring information",business (content),
86,just saw a big fake booty at the logan square farmers market,NR,,,
87,Looks like a picture-perfect summer day in Chicago shaping up! What's on your 'to-do' list? #Errands #FarmersMarket #AntiqueScrounging #AlterationsPickup https://t.co/RE5G2uWEBw,NR,"looks like, perfect",business (content),
88,Upcoming Event: La Salle Farmers Market - 6/5/2018  https://t.co/Bg1g8v6vNw,NR,uncoming event,business (content),
89,"With hundreds of smiling faces in attendance, Northbrook's farmers market opened for its 10th season on Wednesday: https://t.co/5gOr623Ncm @NorthbrookFarm1 https://t.co/aKUQrBuBhn",environment,"smiling faces, attendance opened",business (content),
90,Soulard Farmers Market on #Yelp: Steve's produce https://t.co/ppDQEKXKEe,NR,,business (content),
91,Great day for the farmers market ☀️ https://t.co/X9bLsed0Ej,environment,great day,,
92,"While the chef was at market, early this morning. the baker was busy baking away. Farmers Market today in  quad 10am-1:30pm #BenUDining https://t.co/xC7KlbhUJa",NR,,business (content),
93,"Went to the farmers market alone ✔️
Got an all natural lemonade ✔️
Pet 3 Shih-Tzus ✔️
So far a grade A day ✔️",quality,"pet, natural, lemondade",,
94,"Join Chris our Hort Educator tomorrow morning from 8:45 - Noon at the Macomb Farmers Market. He will have some fun activities and take a ways, all about Monarch Butterflies! https://t.co/n19UUKKVZE",NR,,business (content),
95,Take notice... https://t.co/1nFCwTaI1I https://t.co/IPXdmqcLyR,NR,,,
96,Beet Box Mobile Farmers Market Makes Fresh Produce Accessible and Affordable https://t.co/qb3SP1SPBT,NR,"accessible, affordable",business (content),
97,Join @socialcollageme #divisionstreetfarmersmarket #chicagosoapmaker #chicagofarmersmarket #chicagocitymarkets @ Division Street Farmers Market https://t.co/sdpKkxtjzf,NR,,business (content),
98,The Glenview Farmers Market — now with fresh eggs from Historic Wagner Farms— kicks off its 30th year https://t.co/080WzcSToJ https://t.co/mIWe8chH2c,NR,,business (content),
99,Go to your local farmers market to get healthier fruits and veggies - https://t.co/24uFg0EbvA https://t.co/jlCLSYrp7c,quality,healthir fruits and veggies,business (content),
100,I checked in at Daley Plaza Farmers Market on #Yelp https://t.co/YPBb120qHG,NR,checked in,visiting,consumers 
101,Winfield Farmers Market!!! Come on out and taste BLISS!!!! https://t.co/amLN6p1fJz,NR,come on and taste!!,business (content),
102,"@turnip2020
I met some of your friends today at the farmers market😂😂😂 https://t.co/X6A3I4Ibl2",environment,,visiting,consumers 
103,"Aurora has one of the oldest farmers markets in the state, and it opens Saturday at the Aurora Transportation Center from 8 a.m. until noon. It will operate rain or shine each Saturday through Oct. 20. 
https://t.co/FwqGwTz2K5 https://t.co/5Ov4vRdVDl",NR,"opens, operate",business (content),
104,"[Quakertown, Pennsylvania -- Red Cross blood drive June 24] 
Quakertown Farmers Market welcoming four new vendors in June https://t.co/CPz5Dfpwce https://t.co/5puk8RZaen",NR,vendors,business (content),
105,"A3, gardening, farmers markets. #AgBookClub",NR,,,
106,Stop out and see us at the Orland Market in the Park!! It’s a beautiful night for some ICE CREAM!! — at Orland Park Farmers' Market https://t.co/q7mQJctYVd,NR,stop out and see us,business (content),
107,"Winnetka Farmers' Market TOMORROW, July 28.
510 Green Bay Road 
7:30 am- 12:30 pm",NR,,business (content),
108,"Tea of the week! Mermaid's Touch, find it at https://t.co/a8CouPe1wB #bettinastea #tea #icedtea #frenchmarket #farmersmarket #hibiscus #rooibos #greentea #blacktea #whitetea #oolong #matcha #detox #spring #summer2018 #ayurvedic #chaitea #herbaltea #fruittea #lombard #naperville https://t.co/CgNozXAUWK",NR,,business (content),
109,"I made a farmers market brunch today: fresh eggs baked with yellow tomato-red chile sauce, topped with basil & Parmesan.  Hot blueberry muffins. https://t.co/D7LtxUT20b",quality,"fresh, tomato, basil, bluberry",,
110,Today only due to Skokie's Backlot Bash the Skokie Farmers' Market is moving to the WEST parking lot of the Skokie Public Library. https://t.co/5B7FzC9gTU,NR,moving,business (content),
111,Thursday farmers market season Daley plaza opening #farmersmarket #chicagoIL #freshproduce #Greens,NR,opening,business (content),
112,First Bank &Trust community shredding event at Downtown Farmers Market (east side) 9-11 a.m. on May 12. Four shopping paper bags (25 lb.) max.,NR,,business (content),promotors
113,Central Park Farmers Market | Just another https://t.co/tbTHzjqlEF site https://t.co/ZSRTmWNJbw,NR,,business (content),
114,Our haul from the farmers’ market. We went in looking for pieces to put together a charcuterie board for tomorrow night and I think we nailed it. https://t.co/4IYfQCbROf,NR,"looking for, tomorrow night (time)",business (content),
115,Join us for our Farmers Market Tour and Cooking Class this Thursday at Lincoln Square. You'll meet the farmers and vendors at the market then enjoy an impromptu cooking class made with the bounty! https://t.co/iSTZA7yUZ0 https://t.co/N92EJ9cEIZ,NR,"join us, you'll meet, enjoy",business (content),
116,Wow Organic Garlic Old State Capitol Farmers Market  https://t.co/8BUE1Pfuch,quality,organic garlic,,
117,"Every time I google ""how to get x stain out of x"" it's like 
TAKE 10 GALLONS OF LAUNDRY DETERGENT AND MIX IT WITH A TUB OF IODIZED WATER AND 10 TABLE SPOONS OF SALT PLUS ARTISAN SPECIFIC VINEGAR FROM THE FARMERS MARKET 
and that's why I have stains on all my shit",NR,,,
118,"Free Tulips For Mothers Day, May 13 2018 @ Logan Square Farmers Market Outdoor Site, https://t.co/l3nQ6h0DYU #Community #Featured",NR,,business (content),promotors
119,Or the @thekapman ‘s farmers market….,NR,,,
120,Winter European Farmers Market and Love Local sampling event happening Saturday 10am-2pm. Come… https://t.co/1eVVkwNIMj,NR,"happening, come",business (content),
121,"Farmers Market Sunday 💚🌿 #felicity #candydelight #sundayfunday #farmersmarket #logansquare #chicago @ Chicago, Illinois https://t.co/cfXbSUcypk",NR,Sunday,business (content),
122,"just a lil reminder to slow down and enjoy these last weeks of summer! ✨ take a trip to the farmers market, go on a long walk, fire up the grill, drink a cold one. they go so, so fast. fall can wait. soak it UP! ☀️🍅🌽🍆🥦🥗🍺🤸🏻‍♂️ #howisummer https://t.co/jHeEG5pzRo https://t.co/GmVMeDh4lt",NR,last weeks of summer!,business (content),
123,"15lbs of rhubarb from Gray Farms, @ToddAppel making rhubarb lemon cordial! (@ Andersonville Farmers Market - @ecoaville in Chicago, IL) https://t.co/KpzVHD9GfH https://t.co/WuPGOOsjmy",availability,"from farms, rhubarb (15 lbs-weight)",,
124,"Hey farmer friends! I'm teaching a free webinar all about farmers market success, thanks to The Land Connection! 

Just sign up and see my do my first ever webinar! https://t.co/65kXe4l6FF",NR,"teaching, sign up and see, free",business (content),educators
125,"A 👉FREE Market Bag👈 for the FIRST 100 customers at the Everyday Edgebrook Farmers Market this Saturday, 8/4, 9am - 1pm!!!  

Located in Edgebrook school parking lot
6525 N Hiawatha Ave https://t.co/ybpR89FEV6",NR,"FREE, this Saturday",business (content),
126,The farmers market in Kansas City though 😍👏🏽,NR,(emoji - good),visiting,consumers
127,"Start your day the Beaver Way and check out the trucks at Southport & Addison, and at the North Park Farmers Market! #coffee #minidonuts #donuts #foodtruck https://t.co/6UJa6MQHbJ",NR,start your day,business (content),
128,Visit your local #FarmersMarket to help out your local economy - https://t.co/N87xOwz5Ku https://t.co/NXxZ1IJrmM,NR,visit your local,business (content),
129,"The Thursday evening @LSRCC_Chicago #farmersmarket in #LincolnSquare kicks off tonight! Join us at our booth at 6pm for a demonstration on how to make Asparagus-Mushroom Crostini with Ricotta, Manchego and Honey using ingredients from local farmers and vendors. https://t.co/o5dLF6ON45",availability,"join us, asparagus-mushroom,",business (content),
130,"Farmers Market 3x’s a week...no excuse not to get healthy!
.
.
.
.
.
#gethealthy #healthyfood #healthyfoodhub #organicfruit #organicvegetables #wholefood #healthylifestyle #foodmarket… https://t.co/7CiLyJrsxc",NR,healthy,frequet visit,consumer
131,"Varieties Music Team has a show on 10/06/2018 at 09:00 AM @ Arlington Heights Farmers Market in Arlington Heights, IL https://t.co/DQQiz8iGVo #concert https://t.co/mazrUVwVeB",environment,music,,
132,"Deerfield’s Fresh Thyme Farmers Market is closing May 5, the victim of poor sales. https://t.co/i7ntIOU9HA https://t.co/nBoG4zk8eY",NR,closing May 5,business (content),
133,#FYI There you go... spinach! Farmers market report: Winter Bloomsdale spinach gives you a sweet reason to eat your greens https://t.co/YWpGdIa2g9,NR,"spinach, sweet, greens",business (content),
134,"There was a Farmers Market outside the courthouse today and I got one of my Bucket list plants. #stringofpearls #igplants @ Chicago, Illinois https://t.co/ielMK7ZBln",availability,"bucket list, got, today",visit,consumer
135,Pet-friendly or pet-free? Suburban farmers markets take sides on whether to allow dogs to accompany shoppers https://t.co/q2PnOYpAf4,safety,"pet, dogs",,
136,"Today from 3:30pm to 6:30pm, Champaign Farmers Market is back on for the season!  Produce, pizza, pops, come get what you've been missing!! #TLCmarket https://t.co/6aBvahm0zH",NR,"today from, back on for the season",business (content),
137,Shopping at your favorite farmers market #InTheNews https://t.co/rHnXf2tyMU https://t.co/aAkzVjssta,NR,"shop, your favorite farmers market",business (content),
138,attending Edgebrook Farmers Market,NR,attending (attend),visit,consumer
139,"The rain is holding off til tonight so come on out and shop with us at Swansea Farmers Market. We're here until 2pm on the Rural King parking lot off 159.

#FarmersMarket 
#SwanseaFarmersMarket 
#FreshProduce
#HandcraftedGoods
#HandcraftedJewelry
#NaimahsCreations https://t.co/gWrkf3eKgs",NR,"shop with us at (location), we're here until pm (time) ",business (content),
140,Start shopping at your local #FarmersMarket to get healthier fruits and veggies - https://t.co/NRpZRRJAoQ https://t.co/FExonRo4iS,NR,"start shopping at your local, healthir fruits and veggies",,educators
141,Check out this huge sweet potato that O'Rourke Family Gardens harvested. There is going to be so much wonderful produce and products at September 22nd Farmers' Market https://t.co/ts8FYqHgGo,NR,"check out, harvested, wonderful produce",business (content),
142,Fresh Midwest ginger at the farmers market. Who’d da thunk it? @ Streeterville https://t.co/UlWz6VeTwz,NR,ginger ,,
143,The Barrington Village Farmers Market is back starting tomorrow in downtown #Barrington! 🥒🍓🥕 #365Barrington #noondailybarrington #Barringtonil #noondaily  #Illinois #60010 #BarringtonToday #BarringtonSummer https://t.co/jMaKAg79n1,NR,back starting tomorrow,business (content),
144,"Today was the first day of #ChicagoCityMarkets, where you can find fresh seasonal produce, flowers, prepared foods, and unique Chicago-made products! Bookmark the farmers' markets schedule for the summer season: https://t.co/r2worNJsuf https://t.co/CTF8RHsRYy",NR,first day,business (content),
145,R Family Farm will not be at the Woodstock Farmers Market tomorrow. (Tues) I am very ill and should be ok by Saturday.,NR,,business (content),notice of change
146,Stop by The Ravinia Farmers Market between 7 AM and 1 PM at Dean Avenue at Jens Jensen Park (intersection of St. Johns and Roger Williams Avenues) and check out the fall produce... https://t.co/JYxQpvE8kv https://t.co/bsDJuVcLI0,NR,stop by ,business (content),
147,#HealthTip: Shop at your local farmers market to boost your local economy. https://t.co/gadB9I3Sqx https://t.co/FGlOjOg1Cj,economics,"shop at local farmers, local economy",,promoters
148,Derek Hough puts his arm around girlfriend Hayley Erbert as they hit LA's farmers' market: Derek Hough and Hayley… https://t.co/YZPk190tAj,environment,girlfriend,,
149,Want a fun day out? FARMERS MARKET on June 9 @ 8:00 am - 1:00 pm https://t.co/7a3hB9a7rG https://t.co/vno9Y5asb3,NR,want a ?,business (content),
150,Saturday morning #farmersmarket Staples: meat on a stick and Puppy Chow. #momsofinstagram #kidsofinstagram #preschoolersofinstagram #fierceandfour #amazinggirl #awesomekid #meatonastick… https://t.co/yfk3pByWAv,NR,Saturday morning,business (content),
151,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpaH0y #advertising #fairs #farmer #farmers #FarmersMarket #GO #localbusiness #market #marketing #organic #proximity #proximitymarketing #smallbusiness #localfood https://t.co/TsbaQEUVN1,NR,have some coming up ? What if?,service for farmers,promoters
152,Illinois Produce Farmers Market. We have truly enjoyed being sponsors for the month of July. Healthy living and healthy choices! @aarpillinois  -See you next year! #growers #farmers #economy #community #volunteers https://t.co/rWpgHjGSgb,NR,sponsers,,promoters
153,Fresh ways to save some green at the farmers market https://t.co/rWhMdNJjOY,NR,,education,educators
154,"Stop by the Libertyville Farmers Market! 

We're here today and every Thursday morning from 7 a.m.-1 p.m. 

Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 

Checkout our website for all our upcoming events https://t.co/GUyhF57bHb https://t.co/sO6vIqJbeR",NR,"stop by, checkout",business (content),
155,#HealthTip: Take advantage of your local #FarmersMarket to to be #healthy with fresher veggies. https://t.co/dLm7hRB5cD https://t.co/J8AYGa0X5k,NR,"healthtip, fresher",,educators
156,"News from Your Neighbors: Tinley Park’s Farmers Market open for the summer, more - https://t.co/qxeaYfxChS @TinleyJunction @HomerHorizon @MokenaMessenger @FrankfrtStation @TheNLPatriot https://t.co/3v6JU9yINM",NR,"news from, neighbors, open",business (content),
